case_id,state,district,referral_date,referral_source,child_age_group,case_type,risk_level,outreach_attempts,service_provided,follow_up_status,case_status,support_amount_inr,days_to_first_contact,outcome_category
CWI-006253,Maharashtra,Nashik,2024-03-16,Self/Family,11-14,Family Reintegration,Low,1,Counseling,Completed,Closed,1140,5,Referred to Specialist Agency
CWI-004685,Uttar Pradesh,Prayagraj,2024-10-10,Childline/Helpline,6-10,Education Support,High,2,Shelter Referral,Completed,Closed,9494,0,Stabilized
CWI-001732,Telangana,Rangareddy,2025-09-29,School,15-17,Protection Concern,High,2,Legal Aid Referral,Completed,Closed,6316,2,Improved Access to Services
CWI-004743,Rajasthan,Ajmer,2023-12-22,School,15-17,Education Support,Medium,3,Shelter Referral,Pending,Open,1967,7,Ongoing Support Needed
CWI-004522,Maharashtra,Nagpur,2025-04-08,NGO Partner,15-17,Protection Concern,Critical,3,Education Kit,Completed,Closed,10328,3,Referred to Specialist Agency
CWI-006341,Uttar Pradesh,Lucknow,2024-09-12,Community Worker,0-5,Protection Concern,Low,2,Counseling,Pending,Closed,1666,6,Stabilized
CWI-000577,Uttar Pradesh,Prayagraj,2023-02-12,Childline/Helpline,6-10,Emergency Shelter,Medium,3,Counseling,In Progress,Referred,5151,4,Referred to Specialist Agency
CWI-005203,Andhra Pradesh,Vijayawada,2024-01-26,Police,0-5,Protection Concern,High,5,Shelter Referral,Completed,Open,7705,1,Unable to Verify Outcome
CWI-006364,Andhra Pradesh,Vijayawada,2023-06-18,Self/Family,15-17,Protection Concern,High,4,Family Counseling,Unable to Contact,Open,7757,4,Stabilized
CWI-000440,West Bengal,Asansol,2023-06-27,Childline/Helpline,15-17,Health/Nutrition,Critical,1,Education Kit,Completed,Closed,7536,0,Stabilized
CWI-002751,karnataka,Mangaluru,2024-06-27,School,15-17,Family Reintegration,Medium,2,Education Kit,Completed,Open,4377,6,Referred to Specialist Agency
CWI-007488,Telangana,Hyderabad,2023-08-30,School,0-5,Emergency Shelter,High,3,Cash Support,Completed,Closed,6283,1,Improved Access to Services
CWI-005273,Rajasthan,,2024-07-05,NGO Partner,15-17,Family Reintegration,Medium,3,Family Counseling,Completed,Closed,3908,2,Ongoing Support Needed
CWI-005654,Tamil Nadu,Madurai,2023-11-06,Community Worker,15-17,Family Reintegration,Medium,3,Counseling,Completed,Closed,6085,5,Improved Access to Services
CWI-004000,Karnataka,Mangaluru,2025-10-03,Healthcare Facility,6-10,Education Support,Low,5,Shelter Referral,Completed,Open,100,13,Improved Access to Services
CWI-006034,Telangana,Hyderabad,2024-09-30,School,15-17,Protection Concern,Critical,3,Education Kit,Completed,Closed,8672,1,Ongoing Support Needed
CWI-000583,Andhra Pradesh,Vijayawada,2023-07-15,School,6-10,Health/Nutrition,Low,5,Family Counseling,Pending,Closed,3510,9,Improved Access to Services
CWI-009931,Telengana,Warangal,2025-02-11,Childline/Helpline,11-14,Family Reintegration,Medium,3,Cash Support,In Progress,Closed,1980,8,Unable to Verify Outcome
CWI-007052,Karnataka,Mangaluru,2025-04-15,School,0-5,Health/Nutrition,Low,6,Nutrition Support,Completed,Referred,3553,6,Ongoing Support Needed
CWI-008159,Karnatka,Dharwad,2024-07-21,NGO Partner,0-5,Family Reintegration,Medium,5,Counseling,In Progress,Open,2304,6,Ongoing Support Needed
CWI-009897,West Bengal,Darjeeling,2024-11-11,School,15-17,Mental Health Support,Medium,2,Cash Support,Completed,Closed,2863,4,Referred to Specialist Agency
CWI-002250,Tamil Nadu,Tiruchirappalli,2025-03-06,NGO Partner,11-14,Protection Concern,High,5,Education Kit,Completed,Referred,4072,0,Stabilized
CWI-004641,Karnataka,Bengaluru Urban,2025-12-13,Childline/Helpline,6-10,Health/Nutrition,Medium,2,Counseling,In Progress,Closed,3105,2,Stabilized
CWI-009486,karnataka,Dharwad,2024-11-17,NGO Partner,0-5,Emergency Shelter,Medium,2,Medical Referral,Completed,Open,4549,5,Stabilized
CWI-004948,Rajasthan,Jaipur,2023-06-10,NGO Partner,15-17,Protection Concern,Low,3,Education Kit,Completed,Closed,314,1,Referred to Specialist Agency
CWI-009921,Karnataka,Belagavi,2024-06-23,Community Worker,6-10,Family Reintegration,High,1,Nutrition Support,Completed,Closed,9239,1,Ongoing Support Needed
CWI-001964,Andhra Pradesh,Tirupati,2024-10-28,Community Worker,6-10,Health/Nutrition,Medium,3,Counseling,Completed,Open,1624,2,Stabilized
CWI-008244,Tamil Nadu,Chennai,2025-10-27,School,15-17,Education Support,Low,4,Shelter Referral,Pending,Closed,1597,14,Stabilized
CWI-006591,karnataka,Mysuru,2024-11-08,NGO Partner,6-10,Education Support,High,6,Medical Referral,In Progress,Closed,4799,1,Ongoing Support Needed
CWI-008848,NCT Delhi,East Delhi,2025-06-01,Community Worker,11-14,Protection Concern,Medium,3,Family Counseling,Completed,Closed,4972,0,Stabilized
CWI-000322,Maharashtra,Pune,2025-09-19,Community Worker,0-5,Family Reintegration,High,3,Education Kit,Completed,Open,5251,2,Stabilized
CWI-002679,Kerala,Kochi,2024-05-05,NGO Partner,15-17,Education Support,Low,3,Education Kit,Completed,Open,2455,9,Unable to Verify Outcome
CWI-004626,West Bengal,Siliguri,2025-07-12,NGO Partner,6-10,Mental Health Support,Medium,3,Counseling,In Progress,Closed,1581,5,Ongoing Support Needed
CWI-004950,West Bengal,Siliguri,2024-04-25,Community Worker,11-14,Education Support,Medium,4,Nutrition Support,Completed,Closed,3853,5,Referred to Specialist Agency
CWI-008329,Rajasthan,Jaipur,2023-09-22,School,6-10,Family Reintegration,Low,5,Nutrition Support,Completed,Closed,3099,9,Stabilized
CWI-003338,UP,Kanpur,2023-05-03,Childline/Helpline,11-14,Mental Health Support,High,2,Counseling,Completed,Closed,7966,3,Ongoing Support Needed
CWI-005590,West Bengal,Howrah,2023-08-30,NGO Partner,0-5,Protection Concern,High,4,Education Kit,Completed,Open,5537,4,Improved Access to Services
CWI-000252,Rajastan,Ajmer,2023-05-31,Community Worker,0-5,Emergency Shelter,Medium,4,Cash Support,Pending,Closed,3606,5,Improved Access to Services
CWI-003974,Karnataka,Bengaluru Urban,2023-03-19,Community Worker,11-14,Education Support,Medium,4,Counseling,Completed,Referred,3060,1,Ongoing Support Needed
CWI-006631,West Bengal,Darjeeling,2024-05-14,Healthcare Facility,0-5,Education Support,Critical,3,Family Counseling,Completed,Closed,5837,1,Unable to Verify Outcome
CWI-005548,West Bengal,Kolkata,2023-06-16,School,0-5,Mental Health Support,High,2,Education Kit,Completed,Closed,6616,4,Referred to Specialist Agency
CWI-000036,Karnatka,Mysuru,2023-05-12,Childline/Helpline,11-14,Education Support,Critical,1,Education Kit,Completed,Open,10911,0,Ongoing Support Needed
CWI-008363,Maharashtra,Thane,2025-03-08,Community Worker,6-10,Emergency Shelter,High,1,Medical Referral,In Progress,Open,2171,3,Ongoing Support Needed
CWI-001514,Kerala,Kollam,2023-03-07,Childline/Helpline,11-14,Family Reintegration,Low,1,Nutrition Support,Completed,Referred,3149,7,Referred to Specialist Agency
CWI-009318,Tamil Nadu,Coimbatore,2024-01-24,Childline/Helpline,6-10,Mental Health Support,Low,2,Counseling,In Progress,Closed,2027,16,Ongoing Support Needed
CWI-000040,West Bengal,Siliguri,2025-05-14,School,15-17,Education Support,High,6,Shelter Referral,Pending,Closed,7617,6,Improved Access to Services
CWI-004820,Delhi,South Delhi,2025-09-23,Healthcare Facility,11-14,Protection Concern,Medium,5,Cash Support,Completed,Referred,-500,4,Stabilized
CWI-003466,Rajasthan,Ajmer,2023-10-31,NGO Partner,0-5,Emergency Shelter,High,2,Nutrition Support,Pending,Open,6772,2,Stabilized
