customer_key,total_revenue,total_orders,loyalty_tier,region_key,region_name
351,8570.6665,8,Gold,4,Southeast
4539,8547.0415,5,Silver,5,Southwest
1006,8000.011,10,Bronze,4,Southeast
3990,7866.711499999999,6,Bronze,4,Southeast
1197,7801.1785,7,Silver,5,Southwest
1244,7570.624,8,Silver,4,Southeast
4482,7484.1535,8,Bronze,4,Southeast
110,7378.3485,9,Silver,4,Southeast
3036,6975.0470000000005,7,Gold,1,Midwest
3473,6826.5855,6,Bronze,1,Midwest
1102,6784.387,7,Bronze,3,Pacific
1868,6730.975,7,Bronze,4,Southeast
569,6676.282,7,Bronze,4,Southeast
240,6666.9455,7,Silver,3,Pacific
2268,6651.0635,6,Silver,1,Midwest
3318,6642.7615000000005,7,Gold,1,Midwest
4460,6571.8075,5,Gold,1,Midwest
851,6558.919,9,Gold,4,Southeast
2686,6550.4195,5,Silver,5,Southwest
4055,6516.964,7,Silver,3,Pacific
2756,6502.089,7,Gold,3,Pacific
3601,6345.9400000000005,7,Silver,7,West
2832,6327.4795,7,Silver,4,Southeast
1511,6297.763,6,Silver,4,Southeast
3408,6232.476,5,Silver,5,Southwest
2668,6220.455,7,Bronze,1,Midwest
1010,6211.8135,5,Gold,2,Northeast
2333,6201.427,7,Bronze,6,Unknown
4548,6119.5895,7,Silver,1,Midwest
4235,6087.1314999999995,6,Bronze,1,Midwest
3848,6015.4745,6,Silver,4,Southeast
2437,6000.538500000001,5,Bronze,7,West
894,5937.099,7,Silver,4,Southeast
1065,5923.1435,5,Bronze,1,Midwest
1523,5916.236,5,Bronze,2,Northeast
4354,5880.6625,4,Silver,2,Northeast
3574,5870.6095,6,Bronze,3,Pacific
3188,5864.3935,8,Bronze,4,Southeast
3454,5804.729,5,Gold,5,Southwest
176,5802.633,5,Bronze,2,Northeast
3503,5762.2105,7,Bronze,4,Southeast
3583,5756.1105,5,Silver,4,Southeast
2788,5736.1320000000005,6,Silver,5,Southwest
3354,5726.9105,7,Bronze,5,Southwest
2836,5698.354,5,Bronze,5,Southwest
3327,5694.0650000000005,7,Silver,4,Southeast
2349,5692.186,5,Bronze,3,Pacific
4865,5686.505999999999,5,Bronze,5,Southwest
3639,5656.872,5,Silver,7,West
554,5647.3705,6,Bronze,5,Southwest
2088,5645.268,7,Bronze,4,Southeast
621,5636.4445,6,Bronze,2,Northeast
2565,5632.4145,7,Bronze,4,Southeast
4506,5612.4039999999995,6,Silver,1,Midwest
3603,5607.637,4,Bronze,4,Southeast
3565,5599.676,7,Bronze,2,Northeast
1001,5573.099,6,Bronze,5,Southwest
1278,5561.119,6,Silver,7,West
515,5546.8505000000005,5,Bronze,6,Unknown
4123,5534.543000000001,6,Gold,3,Pacific
1995,5524.1525,6,Silver,7,West
3936,5507.977,5,Gold,5,Southwest
1652,5498.097,5,Gold,3,Pacific
3078,5491.596500000001,4,Bronze,1,Midwest
27,5484.544,4,Bronze,4,Southeast
5000,5481.1595,5,Bronze,5,Southwest
