date_key,date,year,quarter,month,month_name,week_of_year,day,weekday_name
20240101,2024-01-01,2024,Q1,1,Jan,1,1,Monday
20240102,2024-01-02,2024,Q1,1,Jan,1,2,Tuesday
20240103,2024-01-03,2024,Q1,1,Jan,1,3,Wednesday
20240104,2024-01-04,2024,Q1,1,Jan,1,4,Thursday
20240105,2024-01-05,2024,Q1,1,Jan,1,5,Friday
20240106,2024-01-06,2024,Q1,1,Jan,1,6,Saturday
20240107,2024-01-07,2024,Q1,1,Jan,1,7,Sunday
20240108,2024-01-08,2024,Q1,1,Jan,2,8,Monday
20240109,2024-01-09,2024,Q1,1,Jan,2,9,Tuesday
20240110,2024-01-10,2024,Q1,1,Jan,2,10,Wednesday
20240111,2024-01-11,2024,Q1,1,Jan,2,11,Thursday
20240112,2024-01-12,2024,Q1,1,Jan,2,12,Friday
20240113,2024-01-13,2024,Q1,1,Jan,2,13,Saturday
20240114,2024-01-14,2024,Q1,1,Jan,2,14,Sunday
20240115,2024-01-15,2024,Q1,1,Jan,3,15,Monday
20240116,2024-01-16,2024,Q1,1,Jan,3,16,Tuesday
20240117,2024-01-17,2024,Q1,1,Jan,3,17,Wednesday
20240118,2024-01-18,2024,Q1,1,Jan,3,18,Thursday
20240119,2024-01-19,2024,Q1,1,Jan,3,19,Friday
20240120,2024-01-20,2024,Q1,1,Jan,3,20,Saturday
20240121,2024-01-21,2024,Q1,1,Jan,3,21,Sunday
20240122,2024-01-22,2024,Q1,1,Jan,4,22,Monday
20240123,2024-01-23,2024,Q1,1,Jan,4,23,Tuesday
20240124,2024-01-24,2024,Q1,1,Jan,4,24,Wednesday
20240125,2024-01-25,2024,Q1,1,Jan,4,25,Thursday
20240126,2024-01-26,2024,Q1,1,Jan,4,26,Friday
20240127,2024-01-27,2024,Q1,1,Jan,4,27,Saturday
20240128,2024-01-28,2024,Q1,1,Jan,4,28,Sunday
20240129,2024-01-29,2024,Q1,1,Jan,5,29,Monday
20240130,2024-01-30,2024,Q1,1,Jan,5,30,Tuesday
20240131,2024-01-31,2024,Q1,1,Jan,5,31,Wednesday
20240201,2024-02-01,2024,Q1,2,Feb,5,1,Thursday
20240202,2024-02-02,2024,Q1,2,Feb,5,2,Friday
20240203,2024-02-03,2024,Q1,2,Feb,5,3,Saturday
20240204,2024-02-04,2024,Q1,2,Feb,5,4,Sunday
20240205,2024-02-05,2024,Q1,2,Feb,6,5,Monday
20240206,2024-02-06,2024,Q1,2,Feb,6,6,Tuesday
20240207,2024-02-07,2024,Q1,2,Feb,6,7,Wednesday
20240208,2024-02-08,2024,Q1,2,Feb,6,8,Thursday
20240209,2024-02-09,2024,Q1,2,Feb,6,9,Friday
20240210,2024-02-10,2024,Q1,2,Feb,6,10,Saturday
20240211,2024-02-11,2024,Q1,2,Feb,6,11,Sunday
20240212,2024-02-12,2024,Q1,2,Feb,7,12,Monday
20240213,2024-02-13,2024,Q1,2,Feb,7,13,Tuesday
20240214,2024-02-14,2024,Q1,2,Feb,7,14,Wednesday
20240215,2024-02-15,2024,Q1,2,Feb,7,15,Thursday
20240216,2024-02-16,2024,Q1,2,Feb,7,16,Friday
20240217,2024-02-17,2024,Q1,2,Feb,7,17,Saturday
20240218,2024-02-18,2024,Q1,2,Feb,7,18,Sunday
20240219,2024-02-19,2024,Q1,2,Feb,8,19,Monday
20240220,2024-02-20,2024,Q1,2,Feb,8,20,Tuesday
20240221,2024-02-21,2024,Q1,2,Feb,8,21,Wednesday
20240222,2024-02-22,2024,Q1,2,Feb,8,22,Thursday
20240223,2024-02-23,2024,Q1,2,Feb,8,23,Friday
20240224,2024-02-24,2024,Q1,2,Feb,8,24,Saturday
20240225,2024-02-25,2024,Q1,2,Feb,8,25,Sunday
20240226,2024-02-26,2024,Q1,2,Feb,9,26,Monday
20240227,2024-02-27,2024,Q1,2,Feb,9,27,Tuesday
20240228,2024-02-28,2024,Q1,2,Feb,9,28,Wednesday
20240229,2024-02-29,2024,Q1,2,Feb,9,29,Thursday
20240301,2024-03-01,2024,Q1,3,Mar,9,1,Friday
20240302,2024-03-02,2024,Q1,3,Mar,9,2,Saturday
20240303,2024-03-03,2024,Q1,3,Mar,9,3,Sunday
20240304,2024-03-04,2024,Q1,3,Mar,10,4,Monday
20240305,2024-03-05,2024,Q1,3,Mar,10,5,Tuesday
20240306,2024-03-06,2024,Q1,3,Mar,10,6,Wednesday
20240307,2024-03-07,2024,Q1,3,Mar,10,7,Thursday
20240308,2024-03-08,2024,Q1,3,Mar,10,8,Friday
20240309,2024-03-09,2024,Q1,3,Mar,10,9,Saturday
20240310,2024-03-10,2024,Q1,3,Mar,10,10,Sunday
20240311,2024-03-11,2024,Q1,3,Mar,11,11,Monday
20240312,2024-03-12,2024,Q1,3,Mar,11,12,Tuesday
20240313,2024-03-13,2024,Q1,3,Mar,11,13,Wednesday
20240314,2024-03-14,2024,Q1,3,Mar,11,14,Thursday
20240315,2024-03-15,2024,Q1,3,Mar,11,15,Friday
20240316,2024-03-16,2024,Q1,3,Mar,11,16,Saturday
20240317,2024-03-17,2024,Q1,3,Mar,11,17,Sunday
20240318,2024-03-18,2024,Q1,3,Mar,12,18,Monday
20240319,2024-03-19,2024,Q1,3,Mar,12,19,Tuesday
20240320,2024-03-20,2024,Q1,3,Mar,12,20,Wednesday
20240321,2024-03-21,2024,Q1,3,Mar,12,21,Thursday
20240322,2024-03-22,2024,Q1,3,Mar,12,22,Friday
20240323,2024-03-23,2024,Q1,3,Mar,12,23,Saturday
20240324,2024-03-24,2024,Q1,3,Mar,12,24,Sunday
20240325,2024-03-25,2024,Q1,3,Mar,13,25,Monday
20240326,2024-03-26,2024,Q1,3,Mar,13,26,Tuesday
20240327,2024-03-27,2024,Q1,3,Mar,13,27,Wednesday
20240328,2024-03-28,2024,Q1,3,Mar,13,28,Thursday
20240329,2024-03-29,2024,Q1,3,Mar,13,29,Friday
20240330,2024-03-30,2024,Q1,3,Mar,13,30,Saturday
20240331,2024-03-31,2024,Q1,3,Mar,13,31,Sunday
20240401,2024-04-01,2024,Q2,4,Apr,14,1,Monday
20240402,2024-04-02,2024,Q2,4,Apr,14,2,Tuesday
20240403,2024-04-03,2024,Q2,4,Apr,14,3,Wednesday
20240404,2024-04-04,2024,Q2,4,Apr,14,4,Thursday
20240405,2024-04-05,2024,Q2,4,Apr,14,5,Friday
20240406,2024-04-06,2024,Q2,4,Apr,14,6,Saturday
20240407,2024-04-07,2024,Q2,4,Apr,14,7,Sunday
20240408,2024-04-08,2024,Q2,4,Apr,15,8,Monday
20240409,2024-04-09,2024,Q2,4,Apr,15,9,Tuesday
20240410,2024-04-10,2024,Q2,4,Apr,15,10,Wednesday
20240411,2024-04-11,2024,Q2,4,Apr,15,11,Thursday
20240412,2024-04-12,2024,Q2,4,Apr,15,12,Friday
20240413,2024-04-13,2024,Q2,4,Apr,15,13,Saturday
20240414,2024-04-14,2024,Q2,4,Apr,15,14,Sunday
20240415,2024-04-15,2024,Q2,4,Apr,16,15,Monday
20240416,2024-04-16,2024,Q2,4,Apr,16,16,Tuesday
20240417,2024-04-17,2024,Q2,4,Apr,16,17,Wednesday
20240418,2024-04-18,2024,Q2,4,Apr,16,18,Thursday
20240419,2024-04-19,2024,Q2,4,Apr,16,19,Friday
20240420,2024-04-20,2024,Q2,4,Apr,16,20,Saturday
20240421,2024-04-21,2024,Q2,4,Apr,16,21,Sunday
20240422,2024-04-22,2024,Q2,4,Apr,17,22,Monday
20240423,2024-04-23,2024,Q2,4,Apr,17,23,Tuesday
20240424,2024-04-24,2024,Q2,4,Apr,17,24,Wednesday
20240425,2024-04-25,2024,Q2,4,Apr,17,25,Thursday
20240426,2024-04-26,2024,Q2,4,Apr,17,26,Friday
20240427,2024-04-27,2024,Q2,4,Apr,17,27,Saturday
20240428,2024-04-28,2024,Q2,4,Apr,17,28,Sunday
20240429,2024-04-29,2024,Q2,4,Apr,18,29,Monday
