order_item_id,order_id,line_number,date_key,customer_key,product_key,quantity,returned_qty,unit_price,discount_rate,gross_revenue,discount_amount,net_revenue,refunded_amount,recognized_revenue,cogs_amount,profit_amount
1,1,1,20241117,2313,111,3,0,74.99,0.1,224.96999999999997,22.497,202.47299999999996,0.0,202.47299999999996,132.57,69.90299999999996
2,1,2,20241117,2313,67,3,0,98.66,0.0,295.98,0.0,295.98,0.0,295.98,222.18,73.80000000000001
3,1,3,20241117,2313,180,3,0,240.23,0.1,720.6899999999999,72.069,648.621,0.0,648.621,529.6800000000001,118.94099999999992
4,2,1,20250310,229,56,2,0,73.03,0.0,146.06,0.0,146.06,0.0,146.06,126.8,19.260000000000005
5,2,2,20250310,229,8,3,0,21.5,0.05,64.5,3.225,61.275,0.0,61.275,36.18,25.095
6,2,3,20250310,229,148,2,0,28.62,0.0,57.24,0.0,57.24,0.0,57.24,34.0,23.240000000000002
7,3,1,20251024,2059,12,1,1,264.59,0.0,264.59,0.0,264.59,264.59,0.0,172.82,-172.82
8,3,2,20251024,2059,76,1,0,88.04,0.0,88.04,0.0,88.04,0.0,88.04,52.77,35.27
9,3,3,20251024,2059,59,2,0,311.77,0.0,623.54,0.0,623.54,0.0,623.54,372.96,250.57999999999998
10,4,1,20250122,2923,99,1,0,283.88,0.05,283.88,14.194,269.686,0.0,269.686,197.54,72.14599999999999
11,4,2,20250122,2923,147,3,0,163.78,0.0,491.34000000000003,0.0,491.34000000000003,0.0,491.34000000000003,253.35000000000002,237.99
12,4,3,20250122,2923,3,1,0,60.04,0.1,60.04,6.0040000000000004,54.036,0.0,54.036,48.97,5.0660000000000025
13,4,4,20250122,2923,35,2,0,190.93,0.15,381.86,57.279,324.581,0.0,324.581,295.62,28.961000000000013
14,5,1,20250226,225,91,2,0,282.83,0.0,565.66,0.0,565.66,0.0,565.66,336.82,228.83999999999997
15,5,2,20250226,225,41,1,0,235.22,0.05,235.22,11.761000000000001,223.459,0.0,223.459,184.59,38.869
16,5,3,20250226,225,134,2,0,105.02,0.0,210.04,0.0,210.04,0.0,210.04,165.1,44.94
17,5,4,20250226,225,131,2,0,265.95,0.1,531.9,53.19,478.71,0.0,478.71,346.24,132.46999999999997
18,6,1,20251221,2345,87,3,0,8.32,0.0,24.96,0.0,24.96,0.0,24.96,19.44,5.52
19,6,2,20251221,2345,94,3,0,164.74,0.0,494.22,0.0,494.22,0.0,494.22,290.90999999999997,203.31000000000006
20,6,3,20251221,2345,141,2,0,235.52,0.0,471.04,0.0,471.04,0.0,471.04,348.84,122.20000000000005
21,7,1,20241228,2688,169,1,0,40.15,0.0,40.15,0.0,40.15,0.0,40.15,21.94,18.209999999999997
22,8,1,20240506,4906,111,2,0,82.27,0.0,164.54,0.0,164.54,0.0,164.54,88.38,76.16
23,9,1,20250513,944,47,3,0,189.82,0.05,569.46,28.473000000000003,540.9870000000001,0.0,540.9870000000001,345.54,195.44700000000006
24,9,2,20250513,944,135,2,0,111.26,0.05,222.52,11.126000000000001,211.394,0.0,211.394,179.18,32.214
25,9,3,20250513,944,155,2,0,245.63,0.0,491.26,0.0,491.26,0.0,491.26,312.46,178.8
26,10,1,20250520,918,75,3,0,141.71,0.0,425.13,0.0,425.13,0.0,425.13,263.04,162.08999999999997
27,10,2,20250520,918,82,3,0,299.2,0.05,897.5999999999999,44.879999999999995,852.7199999999999,0.0,852.7199999999999,584.9399999999999,267.78
28,10,3,20250520,918,165,3,0,253.06,0.0,759.1800000000001,0.0,759.1800000000001,0.0,759.1800000000001,501.39,257.7900000000001
29,11,1,20240622,2156,64,1,0,99.75,0.0,99.75,0.0,99.75,0.0,99.75,63.67,36.08
30,11,2,20240622,2156,75,2,0,143.19,0.0,286.38,0.0,286.38,0.0,286.38,175.36,111.01999999999998
31,11,3,20240622,2156,94,2,0,164.74,0.15,329.48,49.422000000000004,280.058,0.0,280.058,193.94,86.118
32,12,1,20250615,1598,71,2,0,72.76,0.1,145.52,14.552000000000001,130.96800000000002,0.0,130.96800000000002,82.2,48.768000000000015
33,12,2,20250615,1598,124,1,0,125.93,0.0,125.93,0.0,125.93,0.0,125.93,111.23,14.700000000000003
34,12,3,20250615,1598,56,1,0,79.04,0.0,79.04,0.0,79.04,0.0,79.04,63.4,15.640000000000008
35,13,1,20240216,4598,180,1,1,223.93,0.0,223.93,0.0,223.93,223.93,0.0,176.56,-176.56
36,14,1,20240821,3936,163,3,1,197.22,0.0,591.66,0.0,591.66,197.22,394.43999999999994,318.39,76.04999999999995
37,14,2,20240821,3936,155,3,0,252.49,0.0,757.47,0.0,757.47,0.0,757.47,468.68999999999994,288.7800000000001
38,14,3,20240821,3936,167,2,0,153.93,0.05,307.86,15.393,292.467,0.0,292.467,166.26,126.207
39,14,4,20240821,3936,10,1,0,340.38,0.0,340.38,0.0,340.38,0.0,340.38,187.63,152.75
41,16,1,20250326,1675,30,1,0,120.13,0.0,120.13,0.0,120.13,0.0,120.13,78.14,41.989999999999995
42,16,2,20250326,1675,135,2,0,110.76,0.1,221.52,22.152,199.368,0.0,199.368,179.18,20.187999999999988
43,16,3,20250326,1675,4,3,0,224.18,0.0,672.54,0.0,672.54,0.0,672.54,398.64,273.9
44,16,4,20250326,1675,112,2,0,193.96,0.1,387.92,38.792,349.12800000000004,0.0,349.12800000000004,262.4,86.72800000000007
45,17,1,20250319,3175,48,1,0,160.1,0.05,160.1,8.005,152.095,0.0,152.095,140.24,11.85499999999999
46,18,1,20250329,4358,142,1,0,248.29,0.0,248.29,0.0,248.29,0.0,248.29,133.8,114.48999999999998
47,19,1,20240430,1010,163,3,0,204.56,0.0,613.6800000000001,0.0,613.6800000000001,0.0,613.6800000000001,318.39,295.2900000000001
48,19,2,20240430,1010,126,2,1,182.71,0.0,365.42,0.0,365.42,182.71,182.71,195.56,-12.849999999999994
49,19,3,20240430,1010,78,3,0,133.47,0.1,400.40999999999997,40.041,360.36899999999997,0.0,360.36899999999997,312.12,48.24899999999997
50,20,1,20251202,1481,61,1,0,115.42,0.0,115.42,0.0,115.42,0.0,115.42,64.78,50.64
51,21,1,20240805,3050,12,1,0,246.64,0.05,246.64,12.332,234.308,0.0,234.308,172.82,61.488
52,22,1,20250728,4300,18,2,0,13.51,0.05,27.02,1.351,25.669,0.0,25.669,14.3,11.369
53,22,2,20250728,4300,24,1,0,203.72,0.1,203.72,20.372,183.348,0.0,183.348,106.12,77.22800000000001
54,22,3,20250728,4300,59,3,1,346.16,0.0,1038.48,0.0,1038.48,346.16,692.3199999999999,559.4399999999999,132.88
55,23,1,20251223,1446,167,3,0,158.79,0.1,476.37,47.637,428.733,0.0,428.733,249.39,179.34300000000002
56,23,2,20251223,1446,133,2,0,208.87,0.1,417.74,41.774,375.966,0.0,375.966,233.58,142.386
57,23,3,20251223,1446,13,3,0,95.63,0.05,286.89,14.3445,272.5455,0.0,272.5455,189.14999999999998,83.39550000000003
58,23,4,20251223,1446,179,1,0,219.84,0.15,219.84,32.976,186.864,0.0,186.864,154.73,32.134000000000015
59,24,1,20240624,2338,80,3,0,234.05,0.0,702.1500000000001,0.0,702.1500000000001,0.0,702.1500000000001,349.89,352.2600000000001
60,24,2,20240624,2338,137,3,0,178.26,0.0,534.78,0.0,534.78,0.0,534.78,392.73,142.04999999999995
61,25,1,20250408,3408,20,3,0,173.25,0.05,519.75,25.9875,493.7625,0.0,493.7625,297.9,195.8625
62,25,2,20250408,3408,56,2,0,69.48,0.05,138.96,6.948,132.012,0.0,132.012,126.8,5.212000000000003
63,26,1,20240131,2127,1,1,0,253.66,0.0,253.66,0.0,253.66,0.0,253.66,150.39,103.27000000000001
64,26,2,20240131,2127,140,3,0,296.85,0.05,890.5500000000001,44.5275,846.0225,0.0,846.0225,570.8100000000001,275.2125
65,27,1,20250409,3854,125,3,0,27.19,0.0,81.57000000000001,0.0,81.57000000000001,0.0,81.57000000000001,64.02,17.55000000000001
66,27,2,20250409,3854,120,2,0,99.75,0.0,199.5,0.0,199.5,0.0,199.5,120.32,79.18
67,27,3,20250409,3854,113,1,0,12.89,0.0,12.89,0.0,12.89,0.0,12.89,9.5,3.3900000000000006
68,27,4,20250409,3854,149,3,0,366.79,0.0,1100.3700000000001,0.0,1100.3700000000001,0.0,1100.3700000000001,571.95,528.4200000000001
72,29,1,20240222,4404,115,1,0,26.15,0.1,26.15,2.615,23.534999999999997,0.0,23.534999999999997,21.3,2.234999999999996
73,29,2,20240222,4404,21,1,0,80.19,0.0,80.19,0.0,80.19,0.0,80.19,46.02,34.169999999999995
74,30,1,20250505,3037,21,3,0,75.36,0.0,226.07999999999998,0.0,226.07999999999998,0.0,226.07999999999998,138.06,88.01999999999998
75,30,2,20250505,3037,57,3,0,98.36,0.1,295.08,29.508,265.572,0.0,265.572,212.52,53.05199999999999
76,30,3,20250505,3037,48,2,0,174.23,0.05,348.46,17.423,331.037,0.0,331.037,280.48,50.55699999999996
77,30,4,20250505,3037,127,3,0,61.58,0.0,184.74,0.0,184.74,0.0,184.74,130.62,54.120000000000005
78,31,1,20251208,4593,149,1,0,362.21,0.15,362.21,54.3315,307.8785,0.0,307.8785,190.65,117.22849999999997
79,31,2,20251208,4593,104,3,0,215.28,0.0,645.84,0.0,645.84,0.0,645.84,461.61,184.23000000000002
80,31,3,20251208,4593,76,2,0,86.88,0.0,173.76,0.0,173.76,0.0,173.76,105.54,68.21999999999998
81,31,4,20251208,4593,167,3,0,148.08,0.0,444.24,0.0,444.24,0.0,444.24,249.39,194.85000000000002
82,32,1,20240301,4299,103,3,0,143.65,0.1,430.95000000000005,43.095000000000006,387.855,0.0,387.855,374.37,13.485000000000014
83,33,1,20251013,1207,66,3,0,244.72,0.0,734.16,0.0,734.16,0.0,734.16,422.46,311.7
84,33,2,20251013,1207,137,1,0,181.65,0.0,181.65,0.0,181.65,0.0,181.65,130.91,50.74000000000001
85,34,1,20250907,4487,62,1,0,151.41,0.1,151.41,15.141,136.269,0.0,136.269,78.3,57.96900000000001
86,34,2,20250907,4487,5,1,0,218.2,0.1,218.2,21.82,196.38,0.0,196.38,166.75,29.629999999999995
87,35,1,20250203,645,40,1,0,96.55,0.0,96.55,0.0,96.55,0.0,96.55,64.44,32.11
88,35,2,20250203,645,83,2,0,152.33,0.0,304.66,0.0,304.66,0.0,304.66,215.14,89.52000000000004
89,35,3,20250203,645,141,3,0,259.69,0.0,779.0699999999999,0.0,779.0699999999999,0.0,779.0699999999999,523.26,255.80999999999995
90,35,4,20250203,645,171,1,0,242.55,0.1,242.55,24.255000000000003,218.29500000000002,0.0,218.29500000000002,138.36,79.935
91,36,1,20251020,1414,121,1,0,256.05,0.0,256.05,0.0,256.05,0.0,256.05,199.27,56.78
92,37,1,20240813,243,27,3,0,99.5,0.1,298.5,29.85,268.65,0.0,268.65,213.99,54.65999999999997
93,37,2,20240813,243,39,3,0,97.66,0.0,292.98,0.0,292.98,0.0,292.98,143.28,149.70000000000002
94,38,1,20250609,522,71,1,0,75.03,0.0,75.03,0.0,75.03,0.0,75.03,41.1,33.93
95,38,2,20250609,522,92,3,0,135.48,0.0,406.43999999999994,0.0,406.43999999999994,0.0,406.43999999999994,225.24,181.19999999999993
96,38,3,20250609,522,59,3,0,323.86,0.0,971.58,0.0,971.58,0.0,971.58,559.4399999999999,412.1400000000001
97,38,4,20250609,522,1,2,0,238.66,0.0,477.32,0.0,477.32,0.0,477.32,300.78,176.54000000000002
98,39,1,20250524,3602,141,1,0,260.83,0.0,260.83,0.0,260.83,0.0,260.83,174.42,86.41
99,39,2,20250524,3602,11,3,0,79.71,0.1,239.13,23.913,215.21699999999998,0.0,215.21699999999998,181.47,33.746999999999986
102,41,1,20250831,935,13,3,0,86.87,0.0,260.61,0.0,260.61,0.0,260.61,189.14999999999998,71.46000000000004
103,41,2,20250831,935,104,3,1,229.22,0.1,687.66,68.766,618.894,206.298,412.596,461.61,-49.01400000000001
104,42,1,20251001,2042,70,2,0,164.19,0.0,328.38,0.0,328.38,0.0,328.38,180.9,147.48
105,42,2,20251001,2042,12,3,0,233.78,0.0,701.34,0.0,701.34,0.0,701.34,518.46,182.88
106,42,3,20251001,2042,135,2,1,125.02,0.1,250.04,25.004,225.036,112.518,112.518,179.18,-66.662
107,43,1,20250727,4001,9,2,0,103.71,0.1,207.42,20.742,186.678,0.0,186.678,100.7,85.978
108,44,1,20250305,4055,124,1,0,128.63,0.1,128.63,12.863,115.767,0.0,115.767,111.23,4.536999999999992
109,45,1,20251214,4825,71,3,0,73.34,0.05,220.02,11.001000000000001,209.019,0.0,209.019,123.30000000000001,85.719
110,45,2,20251214,4825,171,1,0,231.92,0.0,231.92,0.0,231.92,0.0,231.92,138.36,93.55999999999997
111,45,3,20251214,4825,120,3,0,93.38,0.05,280.14,14.007,266.133,0.0,266.133,180.48,85.65299999999999
112,45,4,20251214,4825,178,1,0,151.92,0.0,151.92,0.0,151.92,0.0,151.92,77.81,74.10999999999999
113,46,1,20250209,276,170,2,0,152.99,0.0,305.98,0.0,305.98,0.0,305.98,208.6,97.38000000000002
114,46,2,20250209,276,114,3,0,128.64,0.0,385.91999999999996,0.0,385.91999999999996,0.0,385.91999999999996,196.17000000000002,189.74999999999994
115,46,3,20250209,276,1,2,0,251.55,0.0,503.1,0.0,503.1,0.0,503.1,300.78,202.32000000000005
116,46,4,20250209,276,72,3,0,127.75,0.1,383.25,38.325,344.925,0.0,344.925,306.93,37.995000000000005
117,47,1,20250409,740,100,1,0,36.54,0.0,36.54,0.0,36.54,0.0,36.54,26.72,9.82
118,48,1,20240517,1995,164,2,0,184.15,0.05,368.3,18.415000000000003,349.885,0.0,349.885,255.3,94.58499999999998
119,48,2,20240517,1995,78,3,0,138.7,0.0,416.09999999999997,0.0,416.09999999999997,0.0,416.09999999999997,312.12,103.97999999999996
120,48,3,20240517,1995,93,3,0,154.65,0.1,463.95000000000005,46.39500000000001,417.55500000000006,0.0,417.55500000000006,302.96999999999997,114.5850000000001
121,48,4,20240517,1995,98,1,0,246.36,0.05,246.36,12.318000000000001,234.042,0.0,234.042,159.47,74.572
123,50,1,20251022,486,130,1,0,13.7,0.0,13.7,0.0,13.7,0.0,13.7,8.16,5.539999999999999
124,50,2,20251022,486,25,3,0,23.69,0.1,71.07000000000001,7.107000000000001,63.96300000000001,0.0,63.96300000000001,47.849999999999994,16.113000000000014
