order_id,customer_id,order_date,order_status,payment_method
1,2313,2024-11-17,Delivered,Credit Card
2,229,2025-03-10,Delivered,Debit Card
3,2059,2025-10-24,Delivered,Credit Card
4,2923,2025-01-22,Delivered,Debit Card
5,225,2025-02-26,Delivered,PayPal
6,2345,2025-12-21,Delivered,Debit Card
7,2688,2024-12-28,Delivered,Credit Card
8,4906,2024-05-06,Delivered,Credit Card
9,944,2025-05-13,Delivered,PayPal
10,918,2025-05-20,Delivered,Credit Card
11,2156,2024-06-22,Delivered,Wallet
12,1598,2025-06-15,Delivered,PayPal
13,4598,2024-02-16,Delivered,Credit Card
14,3936,2024-08-21,Delivered,PayPal
15,1263,2025-09-16,Cancelled,Credit Card
16,1675,2025-03-26,Delivered,Credit Card
17,3175,2025-03-19,Delivered,Wallet
18,4358,2025-03-29,Delivered,PayPal
19,1010,2024-04-30,Delivered,Debit Card
20,1481,2025-12-02,Delivered,PayPal
21,3050,2024-08-05,Delivered,Credit Card
22,4300,2025-07-28,Delivered,PayPal
23,1446,2025-12-23,Delivered,Wallet
24,2338,2024-06-24,Delivered,PayPal
25,3408,2025-04-08,Delivered,Credit Card
26,2127,2024-01-31,Delivered,Credit Card
27,3854,2025-04-09,Delivered,PayPal
28,2576,2024-11-17,Cancelled,Credit Card
29,4404,2024-02-22,Delivered,Wallet
30,3037,2025-05-05,Delivered,Credit Card
31,4593,2025-12-08,Delivered,Credit Card
32,4299,2024-03-01,Delivered,Credit Card
33,1207,2025-10-13,Delivered,Debit Card
34,4487,2025-09-07,Delivered,Credit Card
35,645,2025-02-03,Delivered,Credit Card
36,1414,2025-10-20,Delivered,Wallet
37,243,2024-08-13,Delivered,Credit Card
38,522,2025-06-09,Delivered,Debit Card
39,3602,2025-05-24,Delivered,Credit Card
40,556,2025-02-27,Cancelled,Debit Card
41,935,2025-08-31,Delivered,Debit Card
42,2042,2025-10-01,Delivered,PayPal
43,4001,2025-07-27,Delivered,Credit Card
44,4055,2025-03-05,Delivered,Debit Card
45,4825,2025-12-14,Delivered,Credit Card
46,276,2025-02-09,Delivered,Debit Card
47,740,2025-04-09,Delivered,Credit Card
48,1995,2024-05-17,Delivered,Debit Card
49,1417,2024-08-22,Cancelled,Credit Card
50,486,2025-10-22,Delivered,PayPal
51,2621,2024-12-29,Delivered,Credit Card
52,2344,2025-01-08,Delivered,Debit Card
53,2153,2025-08-18,Delivered,Credit Card
54,113,2024-08-26,Delivered,Debit Card
55,2130,2024-07-12,Delivered,Wallet
56,2291,2024-01-07,Delivered,Credit Card
57,1086,2024-06-17,Delivered,Credit Card
58,3975,2025-01-08,Delivered,Debit Card
59,4447,2025-06-13,Delivered,Credit Card
60,4645,2024-08-28,Delivered,Debit Card
61,3408,2024-11-20,Delivered,Credit Card
62,3381,2024-06-10,Delivered,Credit Card
63,770,2025-08-19,Delivered,PayPal
64,1971,2025-01-18,Delivered,Credit Card
65,23,2024-04-14,Cancelled,Debit Card
66,2797,2025-03-20,Delivered,Credit Card
67,3814,2024-09-02,Delivered,Credit Card
68,3346,2025-09-23,Delivered,Debit Card
69,80,2024-07-14,Delivered,PayPal
70,2782,2025-09-23,Delivered,PayPal
71,4403,2025-05-24,Delivered,Credit Card
72,511,2024-04-08,Delivered,Credit Card
73,2648,2025-07-08,Delivered,Credit Card
74,1252,2025-06-10,Delivered,Debit Card
75,4651,2024-11-28,Delivered,PayPal
76,2754,2024-04-27,Delivered,PayPal
77,3860,2024-12-14,Delivered,PayPal
78,2623,2025-03-20,Cancelled,Credit Card
79,4472,2024-04-06,Delivered,Wallet
