product_id,product_name,category,subcategory,brand,unit_cost,list_price
1,ELE-MOB-0001,Electronics,Mobile,North Peak,150.39,247.48
2,ELE-MOB-0002,Electronics,Mobile,North Peak,145.03,256.84
3,ELE-MOB-0003,Electronics,Mobile,Nova,48.97,63.94
4,ELE-AUD-0004,Electronics,Audio,Core,132.88,245.49
5,ELE-MOB-0005,Electronics,Mobile,Wildly,166.75,221.77
6,ELE-AUD-0006,Electronics,Audio,Nova,135.09,173.28
7,ELE-AUD-0007,Electronics,Audio,North Peak,128.63,243.74
8,ELE-AUD-0008,Electronics,Audio,Unknown,12.06,23.83
9,ELE-ACC-0009,Electronics,Accessories,North Peak,50.35,99.69
10,ELE-ACC-0010,Electronics,Accessories,Wildly,187.63,346.24
11,ELE-ACC-0011,Electronics,Accessories,Wildly,60.49,88.4
12,ELE-AUD-0012,Electronics,Audio,Core,172.82,257.09
13,ELE-MOB-0013,Electronics,Mobile,Urban Fox,63.05,92.11
14,ELE-MOB-0014,Electronics,Mobile,Core,7.05,10.92
15,ELE-MOB-0015,Electronics,Mobile,Core,110.81,172.91
16,ELE-MOB-0016,Electronics,Mobile,Urban Fox,19.41,26.78
17,ELE-AUD-0017,Electronics,Audio,North Peak,29.71,39.53
18,ELE-AUD-0018,Electronics,Audio,Urban Fox,7.15,14.01
19,ELE-ACC-0019,Electronics,Accessories,North Peak,79.71,151.75
20,ELE-ACC-0020,Electronics,Accessories,North Peak,99.3,186.27
21,ELE-AUD-0021,Electronics,Audio,Nova,46.02,82.3
22,ELE-MOB-0022,Electronics,Mobile,Wildly,75.63,93.55
23,ELE-ACC-0023,Electronics,Accessories,North Peak,165.95,241.83
24,ELE-ACC-0024,Electronics,Accessories,North Peak,106.12,205.51
25,ELE-ACC-0025,Electronics,Accessories,North Peak,15.95,24.46
26,ELE-ACC-0026,Electronics,Accessories,Wildly,97.84,187.66
27,ELE-AUD-0027,Electronics,Audio,North Peak,71.33,105.64
28,ELE-AUD-0028,Electronics,Audio,Urban Fox,100.1,183.43
29,ELE-MOB-0029,Electronics,Mobile,Urban Fox,150.17,197.81
30,ELE-AUD-0030,Electronics,Audio,Nova,78.14,127.48
31,ELE-AUD-0031,Electronics,Audio,North Peak,190.93,367.53
32,ELE-MOB-0032,Electronics,Mobile,Core,179.09,235.93
33,ELE-MOB-0033,Electronics,Mobile,Unknown,66.99,127.95
34,ELE-ACC-0034,Electronics,Accessories,North Peak,47.89,83.78
35,ELE-MOB-0035,Electronics,Mobile,North Peak,147.81,209.08
36,ELE-MOB-0036,Electronics,Mobile,Wildly,175.24,295.75
37,HOM-FUR-0037,Home,Furniture,Urban Fox,14.59,18.03
38,HOM-FUR-0038,Home,Furniture,North Peak,118.06,174.57
39,HOM-DEC-0039,Home,Decor,Urban Fox,47.76,93.56
40,HOM-FUR-0040,Home,Furniture,Unknown,64.44,101.63
41,HOM-FUR-0041,Home,Furniture,North Peak,184.59,236.14
42,HOM-DEC-0042,Home,Decor,Wildly,127.63,235.76
43,HOM-FUR-0043,Home,Furniture,Wildly,155.03,238.28
44,HOM-DEC-0044,Home,Decor,Nova,141.82,234.68
45,HOM-KIT-0045,Home,Kitchen,Nova,45.08,63.41
46,HOM-KIT-0046,Home,Kitchen,Urban Fox,6.81,10.45
47,HOM-FUR-0047,Home,Furniture,North Peak,115.18,203.08
48,HOM-KIT-0048,Home,Kitchen,Nova,140.24,168.29
49,HOM-KIT-0049,Home,Kitchen,North Peak,141.2,260.14
50,HOM-KIT-0050,Home,Kitchen,Wildly,134.29,237.14
51,HOM-FUR-0051,Home,Furniture,Wildly,146.25,261.85
52,HOM-DEC-0052,Home,Decor,North Peak,17.34,25.81
53,HOM-DEC-0053,Home,Decor,Nova,153.71,225.61
54,HOM-FUR-0054,Home,Furniture,Unknown,157.38,220.25
55,HOM-DEC-0055,Home,Decor,Core,39.54,58.82
