event_id,event_ts,session_id,customer_id,product_id,event_type,page_url,channel,region
EVT000000001,2026-03-02 12:07:12,SESS00002289,CUST000004,PROD000112,page_view,/checkout,mobile,Northeast
EVT000000002,2026-04-11 22:19:46,SESS00000961,CUST000457,PROD000047,add_to_cart,/home,mobile,West
EVT000000003,2026-03-08 23:45:19,SESS00000269,CUST000455,PROD000212,add_to_cart,/product,mobile,Midwest
EVT000000004,2026-03-20 17:26:25,SESS00001583,CUST000060,PROD000237,product_view,/search,mobile,Midwest
EVT000000005,2026-04-17 04:22:56,SESS00000795,CUST000089,PROD000009,page_view,/checkout,mobile,Northeast
EVT000000006,2026-01-28 11:19:10,SESS00002775,CUST000288,PROD000104,page_view,/search,web,Northeast
EVT000000007,2026-01-30 13:09:20,SESS00000725,CUST000405,PROD000060,page_view,/product,mobile,Northeast
EVT000000008,2026-03-26 19:29:10,SESS00001827,CUST000496,PROD000049,checkout_start,/search,mobile,Northeast
EVT000000009,2026-03-12 10:24:16,SESS00000487,CUST000027,PROD000127,purchase,/cart,web,West
EVT000000010,2026-03-12 18:13:26,SESS00001192,CUST000068,PROD000181,product_view,/cart,mobile,Northeast
EVT000000011,2026-03-26 08:06:25,SESS00001671,CUST000413,PROD000136,page_view,/cart,mobile,West
EVT000000012,2026-03-14 15:34:59,SESS00000083,CUST000315,PROD000195,product_view,/checkout,mobile,West
EVT000000013,2026-02-26 16:03:40,SESS00002966,CUST000183,PROD000107,add_to_cart,/search,mobile,Midwest
EVT000000014,2026-03-05 11:52:23,SESS00001925,CUST000315,PROD000147,page_view,/cart,mobile,Midwest
EVT000000015,2026-03-22 00:47:51,SESS00002678,CUST000001,PROD000241,add_to_cart,/cart,web,Northeast
EVT000000016,2026-03-25 17:41:16,SESS00002232,CUST000298,PROD000055,checkout_start,/search,web,Midwest
EVT000000017,2026-03-19 07:41:52,SESS00000407,,PROD000172,add_to_cart,/product,web,West
EVT000000018,2026-03-03 19:16:29,SESS00001837,CUST000048,PROD000156,page_view,/product,web,Midwest
EVT000000019,2026-02-17 21:51:00,SESS00000819,CUST000332,PROD000146,checkout_start,/product,web,Midwest
EVT000000020,2026-01-31 01:38:34,SESS00002499,,PROD000047,purchase,/checkout,web,West
EVT000000021,2026-03-16 23:52:04,SESS00002634,CUST000381,PROD000019,page_view,/cart,mobile,West
EVT000000022,2026-03-23 22:08:36,SESS00000491,CUST000405,PROD000222,add_to_cart,/product,web,Southeast
EVT000000023,2026-03-28 04:06:54,SESS00003055,CUST000374,PROD000196,page_view,/checkout,web,Midwest
EVT000000024,2026-04-11 03:20:39,SESS00001586,CUST000173,PROD000097,page_view,/search,web,Northeast
EVT000000025,2026-01-28 10:14:24,SESS00000095,CUST000465,PROD000012,page_view,/search,web,Southeast
EVT000000026,2026-01-27 10:53:53,SESS00002369,CUST000324,PROD000159,page_view,/checkout,web,West
EVT000000027,2026-02-14 01:55:48,SESS00002751,CUST000106,PROD000142,page_view,/cart,web,West
EVT000000028,2026-04-09 12:27:41,SESS00000125,CUST000449,PROD000093,product_view,/home,web,Northeast
EVT000000029,2026-04-15 16:14:23,SESS00001391,CUST000491,PROD000050,page_view,/cart,mobile,Northeast
EVT000000030,2026-03-29 00:44:14,SESS00002839,CUST000145,PROD000083,page_view,/product,mobile,Midwest
EVT000000031,2026-02-16 00:26:51,SESS00002153,CUST000486,PROD000008,checkout_start,/home,mobile,West
EVT000000032,2026-04-04 21:40:56,SESS00002412,CUST000300,PROD000177,page_view,/search,web,Northeast
EVT000000033,2026-02-24 03:18:43,SESS00000954,CUST000448,PROD000230,product_view,/product,web,West
