snapshot_date,product_id,on_hand_qty,reorder_point,region
2026-01-24,PROD000088,58,36,Midwest
2026-01-24,PROD000048,14,64,Midwest
2026-01-24,PROD000229,220,17,Southeast
2026-01-24,PROD000002,188,40,Southeast
2026-01-24,PROD000107,168,21,Midwest
2026-01-24,PROD000148,186,45,Midwest
2026-01-24,PROD000149,132,16,Southeast
2026-01-24,PROD000241,53,51,West
2026-01-24,PROD000012,206,63,Northeast
2026-01-24,PROD000081,232,33,Southeast
2026-01-24,PROD000046,128,46,Southeast
2026-01-24,PROD000172,73,23,Southeast
2026-01-24,PROD000146,184,15,Midwest
2026-01-24,PROD000001,186,16,West
2026-01-24,PROD000072,177,55,West
2026-01-24,PROD000201,75,48,Northeast
2026-01-24,PROD000180,198,17,Southeast
2026-01-24,PROD000186,171,38,West
2026-01-24,PROD000026,140,19,West
2026-01-24,PROD000171,225,28,Midwest
2026-01-24,PROD000160,3,40,Northeast
2026-01-24,PROD000230,58,15,Northeast
2026-01-24,PROD000095,26,52,Midwest
2026-01-24,PROD000062,66,62,Southeast
2026-01-24,PROD000004,175,45,Southeast
2026-01-24,PROD000097,205,53,Southeast
2026-01-24,PROD000194,1,38,Midwest
2026-01-24,PROD000203,64,64,Midwest
2026-01-24,PROD000086,184,40,Northeast
2026-01-24,PROD000243,237,26,Southeast
2026-01-24,PROD000198,26,63,Northeast
2026-01-24,PROD000123,60,53,Midwest
2026-01-24,PROD000169,80,63,Northeast
2026-01-24,PROD000170,153,19,Midwest
2026-01-24,PROD000101,92,43,Southeast
2026-01-24,PROD000093,11,54,Northeast
2026-01-24,PROD000115,16,33,Midwest
2026-01-24,PROD000207,161,53,Midwest
2026-01-24,PROD000174,220,47,Southeast
2026-01-24,PROD000188,121,29,Northeast
2026-01-24,PROD000102,20,68,Midwest
2026-01-24,PROD000163,183,61,Southeast
2026-01-24,PROD000033,132,68,Midwest
2026-01-24,PROD000006,116,58,West
2026-01-24,PROD000085,218,41,Southeast
2026-01-24,PROD000092,17,42,Northeast
2026-01-24,PROD000132,66,49,Northeast
2026-01-24,PROD000140,188,17,Southeast
2026-01-24,PROD000137,70,18,Northeast
2026-01-24,PROD000077,77,33,Northeast
2026-01-24,PROD000134,206,35,Southeast
2026-01-24,PROD000217,113,30,Northeast
2026-01-24,PROD000053,140,32,West
2026-01-24,PROD000184,231,68,Northeast
2026-01-24,PROD000109,217,15,Northeast
2026-01-24,PROD000022,25,51,West
2026-01-24,PROD000076,37,42,Midwest
2026-01-24,PROD000098,59,48,Midwest
2026-01-24,PROD000210,116,66,West
2026-01-24,PROD000238,79,56,Southeast
2026-01-24,PROD000222,118,28,West
2026-01-24,PROD000220,166,15,Northeast
2026-01-24,PROD000054,142,17,Southeast
2026-01-24,PROD000235,141,19,Southeast
2026-01-24,PROD000138,200,27,Northeast
2026-01-24,PROD000038,6,31,West
2026-01-24,PROD000126,49,34,West
2026-01-24,PROD000099,177,41,West
2026-01-24,PROD000047,2,19,Midwest
2026-01-24,PROD000060,20,45,Northeast
2026-01-24,PROD000245,82,53,Southeast
2026-01-24,PROD000247,146,18,Midwest
2026-01-24,PROD000244,23,35,Northeast
2026-01-24,PROD000078,43,18,Midwest
2026-01-24,PROD000139,20,35,West
2026-01-24,PROD000131,168,24,Northeast
2026-01-24,PROD000052,146,17,Northeast
2026-01-24,PROD000231,64,50,Midwest
2026-01-24,PROD000237,146,20,West
2026-01-24,PROD000221,115,34,West
2026-01-24,PROD000061,101,30,Midwest
2026-01-24,PROD000050,194,61,West
2026-01-24,PROD000168,63,29,Midwest
2026-01-24,PROD000209,73,41,Southeast
2026-01-24,PROD000211,29,64,West
2026-01-24,PROD000246,108,21,Northeast
2026-01-24,PROD000082,25,69,West
2026-01-24,PROD000007,54,37,Midwest
2026-01-24,PROD000067,226,44,Midwest
2026-01-24,PROD000100,141,50,Midwest
2026-01-24,PROD000159,176,68,West
2026-01-24,PROD000089,178,16,West
2026-01-24,PROD000113,13,36,West
2026-01-24,PROD000223,195,48,Midwest
2026-01-24,PROD000122,10,23,Midwest
2026-01-24,PROD000199,114,59,West
2026-01-24,PROD000212,207,40,West
2026-01-24,PROD000083,30,23,West
2026-01-24,PROD000234,28,20,West
2026-01-24,PROD000056,138,60,Midwest
2026-01-24,PROD000240,121,16,Midwest
2026-01-24,PROD000069,47,68,Northeast
2026-01-24,PROD000043,6,22,West
2026-01-24,PROD000214,147,21,West
2026-01-24,PROD000167,1,31,Northeast
2026-01-24,PROD000058,64,49,West
2026-01-24,PROD000096,104,54,West
2026-01-24,PROD000144,167,20,Northeast
2026-01-24,PROD000155,22,58,Midwest
2026-01-24,PROD000142,203,68,Midwest
2026-01-24,PROD000248,117,42,Midwest
2026-01-24,PROD000037,106,16,Midwest
2026-01-24,PROD000165,97,55,Midwest
2026-01-24,PROD000147,234,33,West
2026-01-24,PROD000129,56,26,West
2026-01-24,PROD000075,160,40,Northeast
2026-01-24,PROD000013,164,31,Southeast
2026-01-24,PROD000153,230,54,Midwest
