order_item_id,order_id,line_number,product_id,quantity,unit_price,discount_rate,unit_cost
1,1,1,111,3,74.99,0.1,44.19
2,1,2,67,3,98.66,0.0,74.06
3,1,3,180,3,240.23,0.1,176.56
4,2,1,56,2,73.03,0.0,63.4
5,2,2,8,3,21.5,0.05,12.06
6,2,3,148,2,28.62,0.0,17.0
7,3,1,12,1,264.59,0.0,172.82
8,3,2,76,1,88.04,0.0,52.77
9,3,3,59,2,311.77,0.0,186.48
10,4,1,99,1,283.88,0.05,197.54
11,4,2,147,3,163.78,0.0,84.45
12,4,3,3,1,60.04,0.1,48.97
13,4,4,35,2,190.93,0.15,147.81
14,5,1,91,2,282.83,0.0,168.41
15,5,2,41,1,235.22,0.05,184.59
16,5,3,134,2,105.02,0.0,82.55
17,5,4,131,2,265.95,0.1,173.12
18,6,1,87,3,8.32,0.0,6.48
19,6,2,94,3,164.74,0.0,96.97
20,6,3,141,2,235.52,0.0,174.42
21,7,1,169,1,40.15,0.0,21.94
22,8,1,111,2,82.27,0.0,44.19
23,9,1,47,3,189.82,0.05,115.18
24,9,2,135,2,111.26,0.05,89.59
25,9,3,155,2,245.63,0.0,156.23
26,10,1,75,3,141.71,0.0,87.68
27,10,2,82,3,299.2,0.05,194.98
28,10,3,165,3,253.06,0.0,167.13
29,11,1,64,1,99.75,0.0,63.67
30,11,2,75,2,143.19,0.0,87.68
31,11,3,94,2,164.74,0.15,96.97
32,12,1,71,2,72.76,0.1,41.1
33,12,2,124,1,125.93,0.0,111.23
34,12,3,56,1,79.04,0.0,63.4
35,13,1,180,1,223.93,0.0,176.56
36,14,1,163,3,197.22,0.0,106.13
37,14,2,155,3,252.49,0.0,156.23
38,14,3,167,2,153.93,0.05,83.13
39,14,4,10,1,340.38,0.0,187.63
40,15,1,35,1,210.09,0.0,147.81
41,16,1,30,1,120.13,0.0,78.14
42,16,2,135,2,110.76,0.1,89.59
43,16,3,4,3,224.18,0.0,132.88
44,16,4,112,2,193.96,0.1,131.2
45,17,1,48,1,160.1,0.05,140.24
46,18,1,142,1,248.29,0.0,133.8
47,19,1,163,3,204.56,0.0,106.13
48,19,2,126,2,182.71,0.0,97.78
49,19,3,78,3,133.47,0.1,104.04
50,20,1,61,1,115.42,0.0,64.78
51,21,1,12,1,246.64,0.05,172.82
52,22,1,18,2,13.51,0.05,7.15
