payment_id,order_id,payment_ts,payment_method,payment_status,payment_amount
PAY0000001,ORD0000001,2026-02-14 23:29:00,bank_transfer,completed,1158.3
PAY0000002,ORD0000002,2026-02-09 20:10:00,wallet,completed,1767.99
PAY0000003,ORD0000003,2026-02-16 10:35:00,gift_card,completed,1994.85
PAY0000004,ORD0000004,2026-03-09 06:24:00,wallet,failed,1693.64
PAY0000005,ORD0000005,2026-04-09 22:56:00,card,completed,2679.86
PAY0000006,ORD0000006,2026-03-26 18:29:00,gift_card,completed,804.57
PAY0000007,ORD0000007,2026-04-04 21:04:00,gift_card,completed,1710.03
PAY0000008,ORD0000008,2026-01-26 10:36:00,gift_card,completed,1919.32
PAY0000009,ORD0000009,2026-04-13 13:26:00,wallet,completed,1560.01
PAY0000010,ORD0000010,2026-03-08 21:35:00,gift_card,completed,2064.98
PAY0000011,ORD0000011,2026-02-22 03:59:00,gift_card,completed,1219.29
PAY0000012,ORD0000012,2026-03-19 21:37:00,bank_transfer,completed,1678.9
PAY0000013,ORD0000013,2026-02-27 23:14:00,card,completed,2657.36
PAY0000014,ORD0000014,2026-01-24 14:24:00,wallet,completed,1934.16
PAY0000015,ORD0000015,2026-02-22 11:23:00,gift_card,completed,899.58
PAY0000016,ORD0000016,2026-01-29 07:33:00,gift_card,completed,2059.4
PAY0000017,ORD0000017,2026-04-11 07:10:00,gift_card,completed,10.89
PAY0000018,ORD0000018,2026-04-17 16:10:00,gift_card,refunded,347.26
PAY0000019,ORD0000019,2026-04-12 00:01:00,bank_transfer,completed,736.26
PAY0000020,ORD0000020,2026-02-01 15:34:00,gift_card,completed,1522.39
PAY0000021,ORD0000021,2026-02-28 02:02:00,wallet,completed,1115.91
PAY0000022,ORD0000022,2026-04-22 15:38:00,bank_transfer,completed,1392.09
PAY0000023,ORD0000023,2026-03-31 22:31:00,bank_transfer,completed,367.94
PAY0000024,ORD0000024,2026-03-07 12:59:00,gift_card,completed,642.75
PAY0000025,ORD0000025,2026-04-14 08:54:00,wallet,completed,1761.43
PAY0000026,ORD0000026,2026-03-22 12:04:00,card,completed,677.16
PAY0000027,ORD0000027,2026-03-31 15:26:00,gift_card,completed,2049.09
PAY0000028,ORD0000028,2026-03-18 11:20:00,wallet,completed,925.74
PAY0000029,ORD0000029,2026-04-20 17:39:00,card,completed,280.87
PAY0000030,ORD0000030,2026-04-05 02:35:00,bank_transfer,completed,2009.5
PAY0000031,ORD0000031,2026-03-20 10:37:00,gift_card,refunded,403.54
PAY0000032,ORD0000032,2026-02-19 19:18:00,gift_card,completed,993.96
PAY0000033,ORD0000033,2026-04-01 15:26:00,card,completed,1049.07
PAY0000034,ORD0000034,2026-01-31 02:32:00,gift_card,completed,329.9
PAY0000035,ORD0000035,2026-02-25 17:32:00,wallet,completed,1976.3
PAY0000036,ORD0000036,2026-02-02 06:12:00,gift_card,completed,2061.16
PAY0000037,ORD0000037,2026-04-15 16:47:00,bank_transfer,completed,1400.33
PAY0000038,ORD0000038,2026-04-17 18:06:00,card,completed,131.83
PAY0000039,ORD0000039,2026-04-08 07:25:00,card,completed,68.68
PAY0000040,ORD0000040,2026-03-22 16:12:00,bank_transfer,failed,989.92
PAY0000041,ORD0000041,2026-04-15 04:03:00,wallet,completed,2081.9
PAY0000042,ORD0000042,2026-04-19 09:14:00,bank_transfer,completed,2435.71
PAY0000043,ORD0000043,2026-03-31 16:11:00,card,completed,1394.46
PAY0000044,ORD0000044,2026-04-01 07:35:00,wallet,completed,1489.33
PAY0000045,ORD0000045,2026-04-06 10:47:00,wallet,completed,300.96
PAY0000046,ORD0000046,2026-02-12 09:28:00,card,completed,1641.28
PAY0000047,ORD0000047,2026-02-04 02:51:00,bank_transfer,completed,836.14
PAY0000048,ORD0000048,2026-02-10 07:10:00,bank_transfer,completed,1858.32
PAY0000049,ORD0000049,2026-02-03 03:52:00,card,completed,990.5
PAY0000050,ORD0000050,2026-04-18 15:34:00,bank_transfer,refunded,3126.52
PAY0000051,ORD0000051,2026-01-24 23:49:00,wallet,completed,1190.18
PAY0000052,ORD0000052,2026-04-03 14:24:00,card,completed,777.25
PAY0000053,ORD0000053,2026-04-14 16:08:00,bank_transfer,completed,1027.81
PAY0000054,ORD0000054,2026-03-11 19:58:00,bank_transfer,completed,184.3
PAY0000055,ORD0000055,2026-03-24 09:12:00,wallet,completed,277.72
PAY0000056,ORD0000056,2026-01-26 04:18:00,bank_transfer,completed,2959.41
PAY0000057,ORD0000057,2026-02-15 03:23:00,gift_card,completed,791.07
