return_id,order_id,return_ts,return_reason,refund_amount
RET0000029,ORD0000029,2026-05-03 17:00:00,not_as_described,246.3
RET0000031,ORD0000031,2026-04-15 10:00:00,wrong_size,369.77
RET0000046,ORD0000046,2026-03-03 09:00:00,not_as_described,492.21
RET0000056,ORD0000056,2026-02-15 04:00:00,wrong_size,1655.38
RET0000081,ORD0000081,2026-04-08 16:00:00,wrong_size,91.43
RET0000086,ORD0000086,2026-03-11 17:00:00,wrong_size,383.61
RET0000100,ORD0000100,2026-05-07 22:00:00,late_delivery,921.53
RET0000115,ORD0000115,2026-02-26 12:00:00,late_delivery,346.56
RET0000118,ORD0000118,2026-05-01 07:00:00,late_delivery,777.9
RET0000119,ORD0000119,2026-04-19 05:00:00,damaged,280.14
RET0000123,ORD0000123,2026-02-08 04:00:00,wrong_size,512.98
RET0000134,ORD0000134,2026-02-27 07:00:00,not_as_described,309.77
RET0000165,ORD0000165,2026-03-16 21:00:00,wrong_size,2700.64
RET0000183,ORD0000183,2026-03-21 19:00:00,wrong_size,1056.52
RET0000188,ORD0000188,2026-05-17 08:00:00,not_as_described,804.55
RET0000190,ORD0000190,2026-04-01 09:00:00,not_as_described,245.35
RET0000211,ORD0000211,2026-05-02 15:00:00,damaged,312.89
RET0000218,ORD0000218,2026-03-28 15:00:00,wrong_size,121.38
RET0000221,ORD0000221,2026-05-11 11:00:00,wrong_size,1503.15
RET0000239,ORD0000239,2026-04-19 04:00:00,not_as_described,48.27
RET0000266,ORD0000266,2026-02-23 20:00:00,damaged,572.99
RET0000279,ORD0000279,2026-03-27 05:00:00,damaged,48.93
RET0000287,ORD0000287,2026-04-07 04:00:00,late_delivery,421.98
RET0000291,ORD0000291,2026-05-07 23:00:00,late_delivery,1360.9
RET0000301,ORD0000301,2026-02-25 18:00:00,late_delivery,1506.59
RET0000307,ORD0000307,2026-01-31 06:00:00,late_delivery,920.26
RET0000328,ORD0000328,2026-04-01 22:00:00,damaged,215.25
RET0000334,ORD0000334,2026-04-14 23:00:00,late_delivery,2637.04
RET0000345,ORD0000345,2026-05-11 18:00:00,late_delivery,100.4
RET0000347,ORD0000347,2026-04-14 08:00:00,damaged,603.37
RET0000353,ORD0000353,2026-04-12 21:00:00,wrong_size,2231.27
RET0000359,ORD0000359,2026-02-06 00:00:00,damaged,56.61
RET0000374,ORD0000374,2026-04-26 02:00:00,late_delivery,265.26
RET0000376,ORD0000376,2026-03-18 18:00:00,late_delivery,668.73
RET0000381,ORD0000381,2026-03-15 00:00:00,late_delivery,302.42
RET0000383,ORD0000383,2026-05-03 01:00:00,late_delivery,857.21
RET0000384,ORD0000384,2026-03-25 05:00:00,damaged,773.59
RET0000407,ORD0000407,2026-03-31 02:00:00,wrong_size,1338.14
RET0000409,ORD0000409,2026-02-12 15:00:00,not_as_described,558.98
RET0000427,ORD0000427,2026-05-06 10:00:00,damaged,1534.15
RET0000481,ORD0000481,2026-04-28 20:00:00,not_as_described,131.77
RET0000486,ORD0000486,2026-04-10 04:00:00,late_delivery,451.75
RET0000504,ORD0000504,2026-04-25 01:00:00,wrong_size,884.9
RET0000508,ORD0000508,2026-04-07 00:00:00,not_as_described,698.8
RET0000513,ORD0000513,2026-02-05 23:00:00,damaged,1199.0
RET0000549,ORD0000549,2026-03-22 22:00:00,damaged,695.1
RET0000588,ORD0000588,2026-03-11 17:00:00,damaged,286.75
RET0000592,ORD0000592,2026-03-03 14:00:00,wrong_size,1016.33
RET0000613,ORD0000613,2026-04-08 19:00:00,late_delivery,1287.4
RET0000616,ORD0000616,2026-05-09 21:00:00,not_as_described,514.49
RET0000638,ORD0000638,2026-03-18 23:00:00,damaged,1879.12
RET0000652,ORD0000652,2026-02-09 10:00:00,wrong_size,1323.44
RET0000659,ORD0000659,2026-03-22 18:00:00,late_delivery,343.92
RET0000661,ORD0000661,2026-02-04 05:00:00,not_as_described,354.06
RET0000669,ORD0000669,2026-05-01 08:00:00,damaged,1791.89
RET0000693,ORD0000693,2026-03-19 03:00:00,late_delivery,1323.9
RET0000694,ORD0000694,2026-03-02 02:00:00,late_delivery,911.58
RET0000714,ORD0000714,2026-03-18 05:00:00,damaged,317.88
RET0000718,ORD0000718,2026-04-07 15:00:00,late_delivery,173.03
RET0000721,ORD0000721,2026-03-28 17:00:00,not_as_described,616.05
RET0000775,ORD0000775,2026-03-05 07:00:00,wrong_size,1393.26
RET0000800,ORD0000800,2026-02-18 17:00:00,late_delivery,172.24
RET0000805,ORD0000805,2026-03-24 12:00:00,damaged,1027.43
RET0000824,ORD0000824,2026-03-15 11:00:00,wrong_size,2359.15
RET0000826,ORD0000826,2026-03-21 01:00:00,not_as_described,922.21
RET0000847,ORD0000847,2026-02-25 20:00:00,not_as_described,335.92
RET0000862,ORD0000862,2026-03-30 13:00:00,wrong_size,278.96
RET0000866,ORD0000866,2026-02-16 21:00:00,not_as_described,277.03
RET0000891,ORD0000891,2026-04-03 20:00:00,not_as_described,1016.88
RET0000896,ORD0000896,2026-02-09 08:00:00,not_as_described,2138.32
RET0000902,ORD0000902,2026-04-16 15:00:00,damaged,11.57
RET0000903,ORD0000903,2026-03-29 06:00:00,wrong_size,323.52
RET0000905,ORD0000905,2026-02-24 18:00:00,damaged,983.67
