order_item_id,order_id,product_id,returned_qty,return_reason,return_date
7067,2826,108,1,Not Needed,2024-04-24
28429,11348,82,1,Wrong Size,2025-02-23
27566,11002,31,1,Damaged,2024-12-11
20254,8087,91,1,Damaged,2024-12-21
22963,9196,122,1,Wrong Size,2024-12-23
5353,2151,48,1,Damaged,2024-10-23
15538,6189,126,1,Late Delivery,2024-05-09
24345,9746,119,1,Wrong Size,2024-04-13
29627,11818,51,1,Late Delivery,2025-10-17
26803,10707,28,1,Late Delivery,2024-02-05
26879,10736,31,1,Wrong Size,2025-09-23
15113,6023,138,1,Late Delivery,2024-08-29
29073,11601,47,1,Not Needed,2024-01-14
290,120,110,1,Damaged,2024-12-10
10876,4319,18,1,Not Needed,2024-02-21
3896,1563,111,1,Not Needed,2024-08-13
26512,10595,131,1,Damaged,2025-01-21
4372,1757,141,1,Damaged,2026-01-19
20598,8225,97,1,Damaged,2024-05-03
17858,7122,77,1,Wrong Size,2025-04-10
26630,10643,126,1,Not Needed,2025-03-11
7117,2845,4,1,Wrong Size,2025-11-23
7243,2893,129,1,Damaged,2024-03-12
5542,2221,77,1,Late Delivery,2025-05-27
1197,485,135,1,Not Needed,2025-02-08
8548,3404,99,1,Damaged,2025-04-26
23155,9284,138,1,Wrong Size,2025-06-15
3121,1260,139,1,Wrong Size,2025-03-07
8511,3389,54,1,Damaged,2025-11-16
5777,2312,30,1,Not Needed,2025-08-21
15469,6165,117,1,Damaged,2025-06-15
24748,9899,24,1,Damaged,2024-08-03
3881,1558,105,1,Damaged,2025-10-30
11649,4632,95,1,Damaged,2024-06-23
11348,4506,115,1,Wrong Size,2026-01-09
18981,7577,171,1,Damaged,2024-03-29
20752,8284,14,1,Damaged,2024-06-30
7637,3051,125,1,Late Delivery,2025-04-08
4531,1817,177,1,Damaged,2024-07-22
23014,9223,18,1,Damaged,2025-01-12
14875,5932,164,1,Damaged,2024-06-25
15554,6197,83,1,Wrong Size,2024-06-10
5567,2229,16,1,Late Delivery,2025-10-13
11901,4727,166,1,Damaged,2026-01-07
24703,9882,138,1,Not Needed,2025-09-10
17262,6884,10,1,Not Needed,2024-08-11
13842,5507,92,1,Late Delivery,2024-04-09
17335,6911,110,1,Damaged,2025-09-27
23058,9242,8,1,Wrong Size,2024-08-04
12638,5031,28,1,Late Delivery,2024-06-07
20275,8094,79,1,Damaged,2025-06-22
13529,5381,62,1,Not Needed,2026-01-06
20669,8254,166,1,Wrong Size,2024-01-19
15078,6010,129,1,Wrong Size,2024-07-17
19060,7605,101,1,Wrong Size,2025-10-23
1547,624,113,1,Wrong Size,2024-04-20
21512,8595,2,1,Damaged,2025-12-02
12164,4839,100,1,Damaged,2025-12-24
15310,6099,102,1,Not Needed,2025-04-27
15555,6197,173,1,Wrong Size,2024-04-04
1571,637,178,1,Late Delivery,2025-12-06
6987,2796,86,1,Wrong Size,2024-11-06
16502,6580,52,1,Wrong Size,2024-10-19
5597,2239,43,1,Late Delivery,2024-02-11
6074,2434,16,1,Damaged,2024-11-04
7390,2954,95,1,Late Delivery,2024-09-25
25245,10092,84,1,Damaged,2025-06-04
22250,8901,105,1,Wrong Size,2026-01-01
29051,11591,19,1,Damaged,2025-11-02
21613,8634,143,1,Wrong Size,2024-09-19
7548,3017,15,1,Not Needed,2025-12-01
15489,6171,47,1,Late Delivery,2024-09-04
25482,10185,82,1,Damaged,2025-05-12
6572,2622,11,1,Not Needed,2025-05-27
8676,3455,25,1,Damaged,2024-09-27
8635,3439,82,1,Damaged,2024-02-19
3947,1586,163,1,Late Delivery,2024-06-13
21587,8622,63,1,Damaged,2024-07-02
12518,4984,73,1,Damaged,2024-08-08
17618,7025,147,1,Wrong Size,2024-05-27
5849,2340,144,1,Damaged,2024-03-03
3541,1423,109,1,Wrong Size,2024-08-19
17120,6828,89,1,Damaged,2025-04-17
24648,9862,59,1,Damaged,2025-04-09
3774,1518,113,1,Late Delivery,2024-03-20
26304,10518,147,1,Not Needed,2025-04-30
3882,1559,128,1,Wrong Size,2024-07-06
22362,8949,142,1,Not Needed,2025-05-01
18713,7469,47,1,Damaged,2025-09-24
10752,4270,109,1,Not Needed,2025-11-08
11104,4408,51,1,Wrong Size,2025-01-03
4510,1808,94,1,Late Delivery,2024-11-22
27462,10958,53,1,Wrong Size,2024-02-14
3128,1263,96,1,Wrong Size,2024-12-06
666,275,37,1,Wrong Size,2025-07-11
2302,929,50,1,Damaged,2025-02-08
4057,1636,82,1,Not Needed,2025-03-30
22634,9064,100,1,Not Needed,2025-01-20
23712,9503,77,1,Not Needed,2024-05-14
1812,736,3,1,Not Needed,2025-07-20
20820,8314,125,1,Damaged,2024-10-07
23600,9457,105,1,Not Needed,2024-07-16
1999,807,3,1,Late Delivery,2024-10-21
23490,9411,84,1,Not Needed,2024-10-30
14019,5578,130,1,Damaged,2025-07-30
10428,4148,17,1,Wrong Size,2024-11-23
2500,1006,21,1,Not Needed,2024-04-28
14596,5823,65,1,Damaged,2024-07-04
12498,4976,57,1,Damaged,2024-06-13
18512,7386,174,1,Not Needed,2025-01-25
17969,7164,147,1,Not Needed,2024-11-10
26852,10726,49,1,Wrong Size,2024-02-05
24221,9700,171,1,Damaged,2025-06-17
20418,8151,48,1,Wrong Size,2025-12-23
20993,8381,146,1,Damaged,2025-02-04
16388,6532,22,1,Damaged,2025-09-20
1802,733,127,1,Damaged,2025-05-21
