date_key,year,month,day,week_of_year
2026-01-24,2026,1,24,4
2026-01-25,2026,1,25,4
2026-01-26,2026,1,26,5
2026-01-27,2026,1,27,5
2026-01-28,2026,1,28,5
2026-01-29,2026,1,29,5
2026-01-30,2026,1,30,5
2026-01-31,2026,1,31,5
2026-02-01,2026,2,1,5
2026-02-02,2026,2,2,6
2026-02-03,2026,2,3,6
2026-02-04,2026,2,4,6
2026-02-05,2026,2,5,6
2026-02-06,2026,2,6,6
2026-02-07,2026,2,7,6
2026-02-08,2026,2,8,6
2026-02-09,2026,2,9,7
2026-02-10,2026,2,10,7
2026-02-11,2026,2,11,7
2026-02-12,2026,2,12,7
2026-02-13,2026,2,13,7
2026-02-14,2026,2,14,7
2026-02-15,2026,2,15,7
2026-02-16,2026,2,16,8
2026-02-17,2026,2,17,8
2026-02-18,2026,2,18,8
2026-02-19,2026,2,19,8
2026-02-20,2026,2,20,8
2026-02-21,2026,2,21,8
2026-02-22,2026,2,22,8
2026-02-23,2026,2,23,9
2026-02-24,2026,2,24,9
2026-02-25,2026,2,25,9
2026-02-26,2026,2,26,9
2026-02-27,2026,2,27,9
2026-02-28,2026,2,28,9
2026-03-01,2026,3,1,9
2026-03-02,2026,3,2,10
2026-03-03,2026,3,3,10
2026-03-04,2026,3,4,10
2026-03-05,2026,3,5,10
2026-03-06,2026,3,6,10
2026-03-07,2026,3,7,10
2026-03-08,2026,3,8,10
2026-03-09,2026,3,9,11
2026-03-10,2026,3,10,11
2026-03-11,2026,3,11,11
2026-03-12,2026,3,12,11
2026-03-13,2026,3,13,11
2026-03-14,2026,3,14,11
2026-03-15,2026,3,15,11
2026-03-16,2026,3,16,12
2026-03-17,2026,3,17,12
2026-03-18,2026,3,18,12
2026-03-19,2026,3,19,12
2026-03-20,2026,3,20,12
2026-03-21,2026,3,21,12
2026-03-22,2026,3,22,12
2026-03-23,2026,3,23,13
2026-03-24,2026,3,24,13
2026-03-25,2026,3,25,13
2026-03-26,2026,3,26,13
2026-03-27,2026,3,27,13
2026-03-28,2026,3,28,13
2026-03-29,2026,3,29,13
2026-03-30,2026,3,30,14
2026-03-31,2026,3,31,14
2026-04-01,2026,4,1,14
2026-04-02,2026,4,2,14
2026-04-03,2026,4,3,14
2026-04-04,2026,4,4,14
2026-04-05,2026,4,5,14
2026-04-06,2026,4,6,15
2026-04-07,2026,4,7,15
2026-04-08,2026,4,8,15
2026-04-09,2026,4,9,15
2026-04-10,2026,4,10,15
2026-04-11,2026,4,11,15
2026-04-12,2026,4,12,15
2026-04-13,2026,4,13,16
2026-04-14,2026,4,14,16
2026-04-15,2026,4,15,16
2026-04-16,2026,4,16,16
2026-04-17,2026,4,17,16
2026-04-18,2026,4,18,16
2026-04-19,2026,4,19,16
2026-04-20,2026,4,20,17
2026-04-21,2026,4,21,17
2026-04-22,2026,4,22,17
2026-04-23,2026,4,23,17
