product_id,sku,product_name,category,base_price,is_active
PROD000001,SKU-000001,Sports Item 1,Sports,423.18,True
PROD000002,SKU-000002,Apparel Item 2,Apparel,440.58,True
PROD000003,SKU-000003,Electronics Item 3,Electronics,260.14,True
PROD000004,SKU-000004,Home Item 4,Home,450.28,True
PROD000005,SKU-000005,Electronics Item 5,Electronics,319.36,True
PROD000006,SKU-000006,Sports Item 6,Sports,141.61,True
PROD000007,SKU-000007,Sports Item 7,Sports,364.94,True
PROD000008,SKU-000008,Electronics Item 8,Electronics,254.29,True
PROD000009,SKU-000009,Electronics Item 9,Electronics,363.01,True
PROD000010,SKU-000010,Home Item 10,Home,123.55,True
PROD000011,SKU-000011,Electronics Item 11,Electronics,321.26,True
PROD000012,SKU-000012,Sports Item 12,Sports,465.85,True
PROD000013,SKU-000013,Apparel Item 13,Apparel,442.26,True
PROD000014,SKU-000014,Sports Item 14,Sports,217.09,False
PROD000015,SKU-000015,Home Item 15,Home,313.83,True
PROD000016,SKU-000016,Sports Item 16,Sports,409.93,True
PROD000017,SKU-000017,Home Item 17,Home,297.68,False
PROD000018,SKU-000018,Electronics Item 18,Electronics,283.0,True
PROD000019,SKU-000019,Sports Item 19,Sports,316.15,True
PROD000020,SKU-000020,Home Item 20,Home,487.62,True
PROD000021,SKU-000021,Beauty Item 21,Beauty,24.92,True
PROD000022,SKU-000022,Beauty Item 22,Beauty,60.39,False
PROD000023,SKU-000023,Beauty Item 23,Beauty,30.51,True
PROD000024,SKU-000024,Sports Item 24,Sports,235.15,True
PROD000025,SKU-000025,Apparel Item 25,Apparel,376.39,False
PROD000026,SKU-000026,Sports Item 26,Sports,88.53,False
PROD000027,SKU-000027,Home Item 27,Home,326.57,False
PROD000028,SKU-000028,Beauty Item 28,Beauty,52.1,True
PROD000029,SKU-000029,Sports Item 29,Sports,474.02,True
PROD000030,SKU-000030,Apparel Item 30,Apparel,71.09,True
PROD000031,SKU-000031,Sports Item 31,Sports,98.01,False
PROD000032,SKU-000032,Electronics Item 32,Electronics,224.46,False
PROD000033,SKU-000033,Sports Item 33,Sports,388.1,True
PROD000034,SKU-000034,Electronics Item 34,Electronics,305.64,True
PROD000035,SKU-000035,Beauty Item 35,Beauty,487.23,True
PROD000036,SKU-000036,Sports Item 36,Sports,394.38,True
PROD000037,SKU-000037,Apparel Item 37,Apparel,436.25,True
PROD000038,SKU-000038,Sports Item 38,Sports,37.19,True
PROD000039,SKU-000039,Home Item 39,Home,406.9,True
PROD000040,SKU-000040,Apparel Item 40,Apparel,30.85,False
PROD000041,SKU-000041,Apparel Item 41,Apparel,19.24,False
PROD000042,SKU-000042,Home Item 42,Home,123.78,True
PROD000043,SKU-000043,Beauty Item 43,Beauty,143.72,False
PROD000044,SKU-000044,Electronics Item 44,Electronics,378.65,True
PROD000045,SKU-000045,Sports Item 45,Sports,419.11,True
PROD000046,SKU-000046,Apparel Item 46,Apparel,249.78,True
PROD000047,SKU-000047,Beauty Item 47,Beauty,139.45,True
PROD000048,SKU-000048,Home Item 48,Home,344.88,False
PROD000049,SKU-000049,Apparel Item 49,Apparel,151.94,True
PROD000050,SKU-000050,Beauty Item 50,Beauty,362.91,True
PROD000051,SKU-000051,Sports Item 51,Sports,384.31,True
PROD000052,SKU-000052,Sports Item 52,Sports,199.24,True
PROD000053,SKU-000053,Home Item 53,Home,226.65,True
PROD000054,SKU-000054,Home Item 54,Home,237.73,True
PROD000055,SKU-000055,Beauty Item 55,Beauty,312.68,True
PROD000056,SKU-000056,Sports Item 56,Sports,88.61,True
PROD000057,SKU-000057,Home Item 57,Home,401.58,True
PROD000058,SKU-000058,Electronics Item 58,Electronics,308.58,True
PROD000059,SKU-000059,Sports Item 59,Sports,25.45,True
PROD000060,SKU-000060,Electronics Item 60,Electronics,297.34,True
PROD000061,SKU-000061,Home Item 61,Home,336.13,True
PROD000062,SKU-000062,Home Item 62,Home,239.62,True
PROD000063,SKU-000063,Home Item 63,Home,328.24,True
PROD000064,SKU-000064,Beauty Item 64,Beauty,312.11,True
PROD000065,SKU-000065,Apparel Item 65,Apparel,66.15,True
PROD000066,SKU-000066,Apparel Item 66,Apparel,466.43,False
PROD000067,SKU-000067,Home Item 67,Home,168.36,True
PROD000068,SKU-000068,Electronics Item 68,Electronics,143.35,True
PROD000069,SKU-000069,Beauty Item 69,Beauty,136.16,True
PROD000070,SKU-000070,Home Item 70,Home,264.53,False
PROD000071,SKU-000071,Home Item 71,Home,99.99,False
PROD000072,SKU-000072,Apparel Item 72,Apparel,249.92,True
