product_id,region,on_hand_qty,reorder_point,snapshot_date
PROD000088,Midwest,58,36,2026-01-24
PROD000048,Midwest,14,64,2026-01-24
PROD000229,Southeast,220,17,2026-01-24
PROD000002,Southeast,188,40,2026-01-24
PROD000107,Midwest,168,21,2026-01-24
PROD000148,Midwest,186,45,2026-01-24
PROD000149,Southeast,132,16,2026-01-24
PROD000241,West,53,51,2026-01-24
PROD000012,Northeast,206,63,2026-01-24
PROD000081,Southeast,232,33,2026-01-24
PROD000046,Southeast,128,46,2026-01-24
PROD000172,Southeast,73,23,2026-01-24
PROD000146,Midwest,184,15,2026-01-24
PROD000001,West,186,16,2026-01-24
PROD000072,West,177,55,2026-01-24
PROD000201,Northeast,75,48,2026-01-24
PROD000180,Southeast,198,17,2026-01-24
PROD000186,West,171,38,2026-01-24
PROD000026,West,140,19,2026-01-24
PROD000171,Midwest,225,28,2026-01-24
PROD000160,Northeast,3,40,2026-01-24
PROD000230,Northeast,58,15,2026-01-24
PROD000095,Midwest,26,52,2026-01-24
PROD000062,Southeast,66,62,2026-01-24
PROD000004,Southeast,175,45,2026-01-24
PROD000097,Southeast,205,53,2026-01-24
PROD000194,Midwest,1,38,2026-01-24
PROD000203,Midwest,64,64,2026-01-24
PROD000086,Northeast,184,40,2026-01-24
PROD000243,Southeast,237,26,2026-01-24
PROD000198,Northeast,26,63,2026-01-24
PROD000123,Midwest,60,53,2026-01-24
PROD000169,Northeast,80,63,2026-01-24
PROD000170,Midwest,153,19,2026-01-24
PROD000101,Southeast,92,43,2026-01-24
PROD000093,Northeast,11,54,2026-01-24
PROD000115,Midwest,16,33,2026-01-24
PROD000207,Midwest,161,53,2026-01-24
PROD000174,Southeast,220,47,2026-01-24
PROD000188,Northeast,121,29,2026-01-24
PROD000102,Midwest,20,68,2026-01-24
PROD000163,Southeast,183,61,2026-01-24
PROD000033,Midwest,132,68,2026-01-24
PROD000006,West,116,58,2026-01-24
PROD000085,Southeast,218,41,2026-01-24
PROD000092,Northeast,17,42,2026-01-24
PROD000132,Northeast,66,49,2026-01-24
PROD000140,Southeast,188,17,2026-01-24
PROD000137,Northeast,70,18,2026-01-24
PROD000077,Northeast,77,33,2026-01-24
PROD000134,Southeast,206,35,2026-01-24
PROD000217,Northeast,113,30,2026-01-24
PROD000053,West,140,32,2026-01-24
PROD000184,Northeast,231,68,2026-01-24
PROD000109,Northeast,217,15,2026-01-24
PROD000022,West,25,51,2026-01-24
PROD000076,Midwest,37,42,2026-01-24
PROD000098,Midwest,59,48,2026-01-24
PROD000210,West,116,66,2026-01-24
PROD000238,Southeast,79,56,2026-01-24
PROD000222,West,118,28,2026-01-24
PROD000220,Northeast,166,15,2026-01-24
PROD000054,Southeast,142,17,2026-01-24
PROD000235,Southeast,141,19,2026-01-24
PROD000138,Northeast,200,27,2026-01-24
PROD000038,West,6,31,2026-01-24
PROD000126,West,49,34,2026-01-24
PROD000099,West,177,41,2026-01-24
PROD000047,Midwest,2,19,2026-01-24
PROD000060,Northeast,20,45,2026-01-24
PROD000245,Southeast,82,53,2026-01-24
PROD000247,Midwest,146,18,2026-01-24
PROD000244,Northeast,23,35,2026-01-24
PROD000078,Midwest,43,18,2026-01-24
PROD000139,West,20,35,2026-01-24
PROD000131,Northeast,168,24,2026-01-24
PROD000052,Northeast,146,17,2026-01-24
PROD000231,Midwest,64,50,2026-01-24
PROD000237,West,146,20,2026-01-24
PROD000221,West,115,34,2026-01-24
PROD000061,Midwest,101,30,2026-01-24
PROD000050,West,194,61,2026-01-24
PROD000168,Midwest,63,29,2026-01-24
PROD000209,Southeast,73,41,2026-01-24
PROD000211,West,29,64,2026-01-24
PROD000246,Northeast,108,21,2026-01-24
PROD000082,West,25,69,2026-01-24
PROD000007,Midwest,54,37,2026-01-24
PROD000067,Midwest,226,44,2026-01-24
PROD000100,Midwest,141,50,2026-01-24
PROD000159,West,176,68,2026-01-24
PROD000089,West,178,16,2026-01-24
PROD000113,West,13,36,2026-01-24
PROD000223,Midwest,195,48,2026-01-24
PROD000122,Midwest,10,23,2026-01-24
PROD000199,West,114,59,2026-01-24
PROD000212,West,207,40,2026-01-24
PROD000083,West,30,23,2026-01-24
PROD000234,West,28,20,2026-01-24
PROD000056,Midwest,138,60,2026-01-24
PROD000240,Midwest,121,16,2026-01-24
PROD000069,Northeast,47,68,2026-01-24
PROD000043,West,6,22,2026-01-24
