order_id,order_line_id,customer_id,product_id,region,channel,item_quantity,order_amount,order_status,order_date
ORD0000014,ORD0000014-L1183,CUST000218,PROD000183,Southeast,marketplace,1,192.63,placed,2026-01-24
ORD0000014,ORD0000014-L3249,CUST000218,PROD000249,Northeast,marketplace,3,311.34,placed,2026-01-24
ORD0000014,ORD0000014-L1053,CUST000218,PROD000053,Northeast,marketplace,1,226.65,placed,2026-01-24
ORD0000014,ORD0000014-L3227,CUST000218,PROD000227,Southeast,store,3,1203.54,placed,2026-01-24
ORD0000051,ORD0000051-L1200,CUST000491,PROD000200,Northeast,web,1,358.34,placed,2026-01-24
ORD0000051,ORD0000051-L2248,CUST000491,PROD000248,West,mobile,2,627.82,placed,2026-01-24
ORD0000051,ORD0000051-L2096,CUST000491,PROD000096,Midwest,store,2,204.02,placed,2026-01-24
ORD0000213,ORD0000213-L2246,CUST000207,PROD000246,Southeast,marketplace,2,176.32,placed,2026-01-24
ORD0000213,ORD0000213-L3068,CUST000207,PROD000068,West,web,3,430.05,placed,2026-01-24
ORD0000263,ORD0000263-L3112,CUST000148,PROD000112,West,web,3,706.8,placed,2026-01-24
ORD0000263,ORD0000263-L3031,CUST000148,PROD000031,West,marketplace,3,264.63,placed,2026-01-24
ORD0000468,ORD0000468-L1153,CUST000028,PROD000153,Midwest,web,1,358.35,placed,2026-01-24
ORD0000468,ORD0000468-L3096,CUST000028,PROD000096,Northeast,mobile,3,306.03,placed,2026-01-24
ORD0000629,ORD0000629-L1087,CUST000138,PROD000087,Southeast,web,1,185.39,placed,2026-01-24
ORD0000629,ORD0000629-L2214,CUST000138,PROD000214,Southeast,marketplace,2,258.78,placed,2026-01-24
ORD0000629,ORD0000629-L1031,CUST000138,PROD000031,Southeast,web,1,98.01,placed,2026-01-24
ORD0000629,ORD0000629-L1179,CUST000138,PROD000179,Midwest,mobile,1,215.33,placed,2026-01-24
ORD0000724,ORD0000724-L3044,CUST000219,PROD000044,West,marketplace,3,1079.16,placed,2026-01-24
ORD0000724,ORD0000724-L1142,CUST000219,PROD000142,West,store,1,94.34,placed,2026-01-24
ORD0000742,ORD0000742-L2188,CUST000367,PROD000188,Southeast,marketplace,2,60.26,placed,2026-01-24
ORD0000742,ORD0000742-L3082,CUST000367,PROD000082,Northeast,web,3,1046.46,placed,2026-01-24
ORD0000742,ORD0000742-L1077,CUST000367,PROD000077,West,web,1,130.98,placed,2026-01-24
ORD0000748,ORD0000748-L2240,CUST000417,PROD000240,Northeast,mobile,2,807.08,placed,2026-01-24
ORD0000748,ORD0000748-L1054,CUST000417,PROD000054,Midwest,web,1,237.73,placed,2026-01-24
ORD0000748,ORD0000748-L3100,CUST000417,PROD000100,Midwest,store,3,496.71,placed,2026-01-24
ORD0000807,ORD0000807-L3154,CUST000118,PROD000154,West,marketplace,3,1001.67,placed,2026-01-24
ORD0000844,ORD0000844-L2147,CUST000044,PROD000147,Midwest,web,2,550.28,placed,2026-01-24
ORD0000856,ORD0000856-L3062,CUST000372,PROD000062,Southeast,marketplace,3,718.86,placed,2026-01-24
ORD0000856,ORD0000856-L1142,CUST000372,PROD000142,Midwest,store,1,94.34,placed,2026-01-24
ORD0000856,ORD0000856-L3145,CUST000372,PROD000145,Northeast,marketplace,3,289.14,placed,2026-01-24
ORD0001105,ORD0001105-L3011,CUST000232,PROD000011,Southeast,web,3,915.6,placed,2026-01-24
ORD0001105,ORD0001105-L3059,CUST000232,PROD000059,Northeast,mobile,3,68.73,placed,2026-01-24
ORD0001105,ORD0001105-L1141,CUST000232,PROD000141,West,marketplace,1,370.09,placed,2026-01-24
ORD0001105,ORD0001105-L3106,CUST000232,PROD000106,Northeast,store,3,430.71,placed,2026-01-24
ORD0001194,ORD0001194-L2036,CUST000280,PROD000036,Northeast,marketplace,2,788.76,placed,2026-01-24
ORD0001194,ORD0001194-L1029,CUST000280,PROD000029,Northeast,web,1,450.32,placed,2026-01-24
ORD0001194,ORD0001194-L1102,CUST000280,PROD000102,Northeast,store,1,110.39,placed,2026-01-24
ORD0001194,ORD0001194-L2030,CUST000280,PROD000030,West,web,2,135.08,placed,2026-01-24
ORD0001220,ORD0001220-L1061,CUST000432,PROD000061,Southeast,mobile,1,319.32,placed,2026-01-24
ORD0001489,ORD0001489-L3197,CUST000196,PROD000197,Midwest,store,3,1285.32,placed,2026-01-24
ORD0001489,ORD0001489-L1213,CUST000196,PROD000213,Southeast,store,1,10.89,placed,2026-01-24
ORD0001495,ORD0001495-L1233,CUST000489,PROD000233,Northeast,web,1,386.1,placed,2026-01-24
