return_id,order_id,return_reason,refund_amount,return_date
RET0002836,ORD0002836,wrong_size,278.31,2026-01-28
RET0003470,ORD0003470,late_delivery,1704.1,2026-01-28
RET0003998,ORD0003998,not_as_described,172.18,2026-01-30
RET0000307,ORD0000307,late_delivery,920.26,2026-01-31
RET0002516,ORD0002516,late_delivery,889.22,2026-02-03
RET0002598,ORD0002598,late_delivery,382.47,2026-02-03
RET0000661,ORD0000661,not_as_described,354.06,2026-02-04
RET0003881,ORD0003881,not_as_described,584.45,2026-02-04
RET0000513,ORD0000513,damaged,1199.0,2026-02-05
RET0001052,ORD0001052,not_as_described,1364.83,2026-02-05
RET0002248,ORD0002248,late_delivery,646.64,2026-02-05
RET0000359,ORD0000359,damaged,56.61,2026-02-06
RET0003749,ORD0003749,late_delivery,1919.96,2026-02-07
RET0000123,ORD0000123,wrong_size,512.98,2026-02-08
RET0003595,ORD0003595,late_delivery,701.1,2026-02-08
RET0000652,ORD0000652,wrong_size,1323.44,2026-02-09
RET0000896,ORD0000896,not_as_described,2138.32,2026-02-09
RET0002578,ORD0002578,damaged,717.12,2026-02-10
RET0003557,ORD0003557,not_as_described,75.18,2026-02-10
RET0003990,ORD0003990,late_delivery,145.45,2026-02-10
RET0000409,ORD0000409,not_as_described,558.98,2026-02-12
RET0001059,ORD0001059,wrong_size,408.13,2026-02-12
RET0001932,ORD0001932,not_as_described,596.55,2026-02-12
RET0002007,ORD0002007,wrong_size,447.31,2026-02-12
RET0003360,ORD0003360,wrong_size,54.52,2026-02-12
RET0001946,ORD0001946,not_as_described,179.68,2026-02-13
RET0000056,ORD0000056,wrong_size,1655.38,2026-02-15
RET0002155,ORD0002155,damaged,459.87,2026-02-15
RET0002856,ORD0002856,not_as_described,292.87,2026-02-15
RET0000866,ORD0000866,not_as_described,277.03,2026-02-16
RET0003671,ORD0003671,damaged,1235.31,2026-02-16
RET0002256,ORD0002256,damaged,67.38,2026-02-17
RET0002421,ORD0002421,not_as_described,1701.01,2026-02-17
RET0000800,ORD0000800,late_delivery,172.24,2026-02-18
RET0001109,ORD0001109,damaged,158.87,2026-02-18
RET0003506,ORD0003506,wrong_size,205.43,2026-02-18
RET0001548,ORD0001548,not_as_described,1417.63,2026-02-19
RET0001727,ORD0001727,late_delivery,438.76,2026-02-19
RET0002923,ORD0002923,wrong_size,447.04,2026-02-19
RET0003114,ORD0003114,damaged,1023.88,2026-02-19
RET0003529,ORD0003529,damaged,694.54,2026-02-19
RET0003540,ORD0003540,not_as_described,1865.38,2026-02-19
RET0002654,ORD0002654,damaged,307.94,2026-02-21
RET0003166,ORD0003166,not_as_described,236.98,2026-02-21
RET0003985,ORD0003985,damaged,911.56,2026-02-21
RET0001305,ORD0001305,damaged,227.36,2026-02-22
RET0001593,ORD0001593,wrong_size,750.61,2026-02-22
RET0003340,ORD0003340,late_delivery,1638.78,2026-02-22
RET0000266,ORD0000266,damaged,572.99,2026-02-23
RET0001607,ORD0001607,not_as_described,56.22,2026-02-23
RET0001996,ORD0001996,damaged,623.04,2026-02-23
RET0002548,ORD0002548,damaged,2669.45,2026-02-23
RET0002824,ORD0002824,late_delivery,874.41,2026-02-23
RET0003467,ORD0003467,late_delivery,148.1,2026-02-23
RET0000905,ORD0000905,damaged,983.67,2026-02-24
RET0003754,ORD0003754,not_as_described,929.43,2026-02-24
RET0000301,ORD0000301,late_delivery,1506.59,2026-02-25
RET0000847,ORD0000847,not_as_described,335.92,2026-02-25
RET0001904,ORD0001904,damaged,662.24,2026-02-25
RET0002025,ORD0002025,wrong_size,334.35,2026-02-25
RET0002432,ORD0002432,not_as_described,435.95,2026-02-25
RET0000115,ORD0000115,late_delivery,346.56,2026-02-26
RET0003896,ORD0003896,wrong_size,845.87,2026-02-26
RET0000134,ORD0000134,not_as_described,309.77,2026-02-27
RET0001962,ORD0001962,wrong_size,332.99,2026-02-27
RET0003912,ORD0003912,not_as_described,661.04,2026-02-27
RET0003337,ORD0003337,late_delivery,916.76,2026-02-28
RET0003853,ORD0003853,not_as_described,664.73,2026-02-28
RET0002599,ORD0002599,late_delivery,491.61,2026-03-01
RET0003328,ORD0003328,late_delivery,520.46,2026-03-01
RET0000694,ORD0000694,late_delivery,911.58,2026-03-02
RET0001166,ORD0001166,not_as_described,1094.34,2026-03-02
RET0001552,ORD0001552,not_as_described,861.83,2026-03-02
RET0003492,ORD0003492,not_as_described,581.58,2026-03-02
RET0000046,ORD0000046,not_as_described,492.21,2026-03-03
RET0000592,ORD0000592,wrong_size,1016.33,2026-03-03
RET0001730,ORD0001730,not_as_described,726.75,2026-03-03
RET0002065,ORD0002065,damaged,1584.09,2026-03-03
RET0002937,ORD0002937,not_as_described,296.81,2026-03-03
RET0002226,ORD0002226,late_delivery,734.72,2026-03-04
RET0003280,ORD0003280,not_as_described,1192.12,2026-03-04
RET0003482,ORD0003482,damaged,922.94,2026-03-04
RET0003592,ORD0003592,wrong_size,461.61,2026-03-04
RET0000775,ORD0000775,wrong_size,1393.26,2026-03-05
RET0001015,ORD0001015,wrong_size,165.15,2026-03-05
RET0003029,ORD0003029,late_delivery,512.64,2026-03-05
RET0003450,ORD0003450,late_delivery,223.8,2026-03-05
RET0001806,ORD0001806,late_delivery,251.63,2026-03-06
RET0002477,ORD0002477,damaged,451.31,2026-03-06
RET0003641,ORD0003641,late_delivery,208.49,2026-03-06
RET0001419,ORD0001419,not_as_described,2302.23,2026-03-07
RET0001845,ORD0001845,late_delivery,483.91,2026-03-07
RET0003343,ORD0003343,late_delivery,423.36,2026-03-07
RET0003536,ORD0003536,late_delivery,698.6,2026-03-07
RET0001278,ORD0001278,late_delivery,687.87,2026-03-08
RET0001918,ORD0001918,not_as_described,816.13,2026-03-08
RET0002948,ORD0002948,wrong_size,605.44,2026-03-08
RET0003606,ORD0003606,not_as_described,1595.99,2026-03-08
RET0000910,ORD0000910,not_as_described,678.78,2026-03-09
RET0001439,ORD0001439,damaged,36.47,2026-03-09
RET0003624,ORD0003624,wrong_size,829.82,2026-03-09
RET0000974,ORD0000974,wrong_size,1635.66,2026-03-10
RET0001383,ORD0001383,late_delivery,1307.37,2026-03-10
RET0003236,ORD0003236,damaged,242.47,2026-03-10
RET0000086,ORD0000086,wrong_size,383.61,2026-03-11
RET0000588,ORD0000588,damaged,286.75,2026-03-11
RET0002089,ORD0002089,damaged,771.36,2026-03-11
RET0002518,ORD0002518,damaged,340.24,2026-03-12
RET0002914,ORD0002914,wrong_size,1225.43,2026-03-12
RET0003368,ORD0003368,wrong_size,557.65,2026-03-12
RET0002265,ORD0002265,late_delivery,237.4,2026-03-13
RET0003665,ORD0003665,late_delivery,708.58,2026-03-13
RET0001155,ORD0001155,late_delivery,746.42,2026-03-14
RET0001224,ORD0001224,not_as_described,373.69,2026-03-14
RET0001921,ORD0001921,late_delivery,512.8,2026-03-14
RET0002751,ORD0002751,not_as_described,702.75,2026-03-14
RET0000381,ORD0000381,late_delivery,302.42,2026-03-15
RET0000824,ORD0000824,wrong_size,2359.15,2026-03-15
RET0000944,ORD0000944,wrong_size,1170.5,2026-03-15
RET0001336,ORD0001336,damaged,1344.18,2026-03-15
RET0003387,ORD0003387,late_delivery,643.3,2026-03-15
RET0000165,ORD0000165,wrong_size,2700.64,2026-03-16
RET0001328,ORD0001328,not_as_described,132.0,2026-03-16
RET0001659,ORD0001659,damaged,364.97,2026-03-16
RET0002658,ORD0002658,late_delivery,255.41,2026-03-16
RET0003788,ORD0003788,not_as_described,313.0,2026-03-16
RET0003807,ORD0003807,damaged,350.05,2026-03-16
RET0001316,ORD0001316,wrong_size,1229.19,2026-03-17
RET0001533,ORD0001533,late_delivery,224.89,2026-03-17
RET0003272,ORD0003272,not_as_described,298.57,2026-03-17
RET0000376,ORD0000376,late_delivery,668.73,2026-03-18
RET0000638,ORD0000638,damaged,1879.12,2026-03-18
RET0000714,ORD0000714,damaged,317.88,2026-03-18
RET0001969,ORD0001969,late_delivery,121.79,2026-03-18
RET0002131,ORD0002131,wrong_size,379.24,2026-03-18
RET0000693,ORD0000693,late_delivery,1323.9,2026-03-19
RET0001937,ORD0001937,damaged,1563.8,2026-03-19
RET0002933,ORD0002933,damaged,681.82,2026-03-19
RET0003348,ORD0003348,late_delivery,627.72,2026-03-19
RET0001055,ORD0001055,late_delivery,88.15,2026-03-20
RET0001307,ORD0001307,wrong_size,846.46,2026-03-20
RET0002553,ORD0002553,not_as_described,56.41,2026-03-20
RET0003674,ORD0003674,not_as_described,1975.5,2026-03-20
RET0000183,ORD0000183,wrong_size,1056.52,2026-03-21
RET0000826,ORD0000826,not_as_described,922.21,2026-03-21
RET0000549,ORD0000549,damaged,695.1,2026-03-22
RET0000659,ORD0000659,late_delivery,343.92,2026-03-22
RET0001608,ORD0001608,late_delivery,306.22,2026-03-22
RET0002121,ORD0002121,late_delivery,1242.98,2026-03-22
RET0002523,ORD0002523,damaged,1681.79,2026-03-22
RET0002846,ORD0002846,damaged,534.84,2026-03-22
RET0003687,ORD0003687,not_as_described,1029.91,2026-03-22
RET0001701,ORD0001701,late_delivery,242.46,2026-03-23
RET0002776,ORD0002776,late_delivery,1231.93,2026-03-23
RET0002879,ORD0002879,damaged,593.5,2026-03-23
RET0003036,ORD0003036,late_delivery,704.96,2026-03-23
RET0000805,ORD0000805,damaged,1027.43,2026-03-24
RET0000979,ORD0000979,wrong_size,241.18,2026-03-24
RET0002179,ORD0002179,wrong_size,129.78,2026-03-24
RET0000384,ORD0000384,damaged,773.59,2026-03-25
RET0001162,ORD0001162,late_delivery,285.35,2026-03-25
RET0001399,ORD0001399,damaged,478.29,2026-03-25
RET0002140,ORD0002140,damaged,771.91,2026-03-25
RET0002726,ORD0002726,not_as_described,1244.25,2026-03-25
RET0003827,ORD0003827,damaged,751.74,2026-03-25
RET0000279,ORD0000279,damaged,48.93,2026-03-27
RET0001215,ORD0001215,not_as_described,2073.11,2026-03-27
RET0002533,ORD0002533,late_delivery,356.13,2026-03-27
RET0002709,ORD0002709,damaged,263.86,2026-03-27
RET0002715,ORD0002715,not_as_described,573.11,2026-03-27
RET0003398,ORD0003398,late_delivery,612.86,2026-03-27
RET0000218,ORD0000218,wrong_size,121.38,2026-03-28
RET0000721,ORD0000721,not_as_described,616.05,2026-03-28
RET0000991,ORD0000991,not_as_described,170.79,2026-03-28
RET0001896,ORD0001896,damaged,2043.95,2026-03-28
RET0002016,ORD0002016,late_delivery,447.78,2026-03-28
RET0002250,ORD0002250,damaged,743.98,2026-03-28
RET0002850,ORD0002850,not_as_described,512.94,2026-03-28
RET0002867,ORD0002867,late_delivery,272.84,2026-03-28
RET0002965,ORD0002965,wrong_size,1563.16,2026-03-28
RET0000903,ORD0000903,wrong_size,323.52,2026-03-29
RET0001535,ORD0001535,not_as_described,393.42,2026-03-29
RET0002609,ORD0002609,wrong_size,315.53,2026-03-29
RET0000862,ORD0000862,wrong_size,278.96,2026-03-30
RET0002009,ORD0002009,not_as_described,705.24,2026-03-30
RET0003009,ORD0003009,damaged,875.97,2026-03-30
RET0003664,ORD0003664,not_as_described,1175.73,2026-03-30
RET0000407,ORD0000407,wrong_size,1338.14,2026-03-31
RET0001240,ORD0001240,late_delivery,363.18,2026-03-31
RET0001392,ORD0001392,late_delivery,328.02,2026-03-31
RET0002173,ORD0002173,not_as_described,1382.37,2026-03-31
RET0000190,ORD0000190,not_as_described,245.35,2026-04-01
RET0000328,ORD0000328,damaged,215.25,2026-04-01
RET0001477,ORD0001477,damaged,606.09,2026-04-01
RET0001647,ORD0001647,wrong_size,858.76,2026-04-01
RET0001809,ORD0001809,wrong_size,1998.03,2026-04-01
RET0002102,ORD0002102,damaged,1136.82,2026-04-01
RET0003462,ORD0003462,wrong_size,361.03,2026-04-01
RET0003494,ORD0003494,wrong_size,1361.59,2026-04-01
RET0003648,ORD0003648,damaged,1100.77,2026-04-01
RET0003682,ORD0003682,not_as_described,40.47,2026-04-01
RET0001690,ORD0001690,late_delivery,252.65,2026-04-02
RET0001736,ORD0001736,wrong_size,217.1,2026-04-02
RET0003077,ORD0003077,damaged,745.01,2026-04-02
RET0000891,ORD0000891,not_as_described,1016.88,2026-04-03
