family_id,site_state,referral_date,referral_source,outreach_attempts,engagement_status,service_type,flexible_funds_amount,case_review_flag,follow_up_completed,outcome_status,site_state_original,referral_date_raw,flexible_funds_amount_raw,fund_amount_capped_flag,engagement_status_valid,outcome_status_valid,duplicate_family_id_flag
FAM-100000,Illinois,2025-02-02,School,4,Engaged,Parent coaching,52.63,False,True,Needs met,illinois,2025-02-02,52.63,False,True,True,False
FAM-100001,Washington,2025-10-10,School,3,Engaged,Parent coaching,36.32,False,True,Needs met,washington,2025-10-10,36.32,False,True,True,False
FAM-100002,Ohio,2025-08-27,School,1,Engaged,Benefits enrollment,235.54,False,True,Connected to ongoing service,Ohio,2025-08-27,235.54,False,True,True,False
FAM-100003,New York,2025-06-10,School,2,Engaged,Housing navigation,177.61,False,True,Needs met,new york,2025-06-10,177.61,False,True,True,False
FAM-100004,Texas,2025-06-08,Health provider,2,Engaged,Mental health referral,124.83,False,True,Connected to ongoing service,Texas,2025-06-08,124.83,False,True,True,False
FAM-100005,Ohio,2025-11-10,School,2,Pending outreach,Housing navigation,54.78,False,False,No response after outreach,ohio,2025-11-10,54.78,False,True,True,False
FAM-100006,Washington,2025-02-01,CPS hotline screened-out,4,Engaged,Benefits enrollment,4.8,True,True,Connected to ongoing service,Wash.,2025-02-01,4.8,False,True,True,False
FAM-100007,Texas,2025-09-12,Health provider,1,Engaged,Housing navigation,288.69,False,True,Needs met,TX,2025-09-12,288.69,False,True,True,False
FAM-100008,Ohio,2025-03-15,Community partner,1,Engaged,Housing navigation,229.81,False,True,Needs met,Ohio,2025-03-15,229.81,False,True,True,False
FAM-100009,New York,2025-02-04,CPS hotline screened-out,1,Engaged,Mental health referral,151.93,False,True,Connected to ongoing service,N.Y.,2025-02-04,151.93,False,True,True,False
FAM-100010,Washington,2025-07-12,Family resource center,1,Engaged,Housing navigation,150.61,False,True,Needs met,Washington,2025-07-12,150.61,False,True,True,False
FAM-100011,Texas,2025-12-23,Community partner,1,Engaged,Legal aid referral,106.04,False,False,Still active,texas,2025-12-23,106.04,False,True,True,False
FAM-100012,Washington,2025-09-26,Health provider,5,Engaged,Parent coaching,145.52,False,True,Needs met,Washington,2025-09-26,145.52,False,True,True,False
FAM-100013,Illinois,2025-10-05,Community partner,1,Engaged,Parent coaching,40.53,False,True,Needs met,illinois,2025-10-05,40.53,False,True,True,False
FAM-100014,Washington,2025-09-19,School,1,Unable to contact,Mental health referral,0.0,False,False,No response after outreach,Washington,2025-09-19,,False,True,True,False
FAM-100015,Texas,2025-10-14,School,1,Engaged,Housing navigation,106.87,True,True,Needs met,Texas,2025-10-14,106.87,False,True,True,False
FAM-100016,Illinois,2025-07-07,CPS hotline screened-out,2,Engaged,Housing navigation,466.91,True,False,Still active,illinois,2025-07-07,466.91,False,True,True,False
FAM-100017,Ohio,2025-02-16,Family resource center,1,Unable to contact,Parent coaching,130.4,False,False,No response after outreach,ohio,2025-02-16,130.4,False,True,True,False
FAM-100018,Unknown,2025-11-03,Community partner,2,Engaged,Housing navigation,421.45,False,True,Needs met,,2025-11-03,421.45,False,True,True,False
FAM-100019,Unknown,2025-06-14,Health provider,8,Engaged,Child care support,229.11,False,False,No response after outreach,,2025-06-14,229.11,False,True,True,False
FAM-100020,Ohio,2025-07-02,Health provider,2,Engaged,Housing navigation,396.14,False,True,Needs met,Ohio,2025-07-02,396.14,False,True,True,False
FAM-100021,Washington,2025-05-16,School,0,Engaged,Parent coaching,71.63,False,True,Connected to ongoing service,WA,2025-05-16,71.63,False,True,True,False
FAM-100022,New York,2025-03-08,Health provider,2,Engaged,Mental health referral,266.11,False,True,Connected to ongoing service,NY,2025-03-08,266.11,False,True,True,False
FAM-100023,Ohio,2025-12-05,Health provider,3,Pending outreach,No service recorded,0.0,False,True,No response after outreach,OH,2025-12-05,0.0,False,True,True,False
FAM-100024,Ohio,2025-10-13,CPS hotline screened-out,6,Pending outreach,No service recorded,0.0,False,False,No response after outreach,Ohio,2025-10-13,0.0,False,True,True,False
FAM-100025,New York,2025-08-24,Self-referral,2,Pending outreach,No service recorded,0.0,False,True,Still active,NY,2025-08-24,0.0,False,True,True,False
FAM-100026,Washington,2025-05-27,CPS hotline screened-out,3,Engaged,Legal aid referral,81.7,False,True,Still active,Washington,2025-05-27,81.7,False,True,True,False
FAM-100027,Texas,2025-10-28,School,1,Engaged,Housing navigation,533.34,False,False,Still active,Texas,2025-10-28,533.34,False,True,True,False
FAM-100028,Illinois,2025-07-19,School,0,Engaged,Legal aid referral,66.4,False,True,Needs met,IL,2025-07-19,66.4,False,True,True,False
FAM-100029,Washington,2025-06-11,School,4,Engaged,Child care support,638.48,False,True,Needs met,washington,2025-06-11,638.48,False,True,True,False
FAM-100030,Washington,2025-06-14,CPS hotline screened-out,2,Engaged,Child care support,142.57,False,True,Still active,Wash.,2025-06-14,142.57,False,True,True,False
FAM-100031,New York,2025-03-24,Self-referral,2,Engaged,Parent coaching,117.54,False,True,Connected to ongoing service,NY,2025-03-24,117.54,False,True,True,False
FAM-100032,Washington,2025-02-03,School,2,Engaged,Housing navigation,166.35,False,True,Connected to ongoing service,WA,2025-02-03,166.35,False,True,True,False
FAM-100033,Illinois,2025-07-22,CPS hotline screened-out,3,Engaged,Mental health referral,102.21,True,False,Still active,Ill.,2025-07-22,102.21,False,True,True,False
FAM-100034,Washington,2025-11-21,CPS hotline screened-out,3,Engaged,Concrete supports,178.29,False,True,Needs met,washington,2025-11-21,178.29,False,True,True,False
FAM-100035,Texas,2025-01-24,Health provider,2,Unable to contact,No service recorded,0.0,False,True,No response after outreach,texas,2025-01-24,0.0,False,True,True,False
FAM-100036,Texas,2025-11-10,Health provider,2,Engaged,Concrete supports,271.42,False,True,Still active,texas,2025-11-10,271.42,False,True,True,False
FAM-100037,Illinois,2025-10-30,Health provider,2,Declined,No service recorded,0.0,False,True,Family declined services,Ill.,2025-10-30,0.0,False,True,True,False
FAM-100038,Washington,2025-04-12,Self-referral,0,Engaged,Concrete supports,199.04,False,True,Connected to ongoing service,Wash.,2025-04-12,199.04,False,True,True,False
FAM-100039,Illinois,2025-08-19,Self-referral,3,Engaged,Child care support,429.06,False,False,No response after outreach,IL,2025-08-19,429.06,False,True,True,False
FAM-100040,New York,2025-03-02,Family resource center,1,Engaged,Housing navigation,378.14,False,True,Needs met,NY,2025-03-02,378.14,False,True,True,False
FAM-100041,Illinois,2025-10-04,Family resource center,5,Engaged,Housing navigation,161.69,True,True,Needs met,IL,2025-10-04,161.69,False,True,True,False
FAM-100042,Texas,2025-09-13,Family resource center,2,Engaged,Legal aid referral,41.35,False,False,Still active,Texas,2025-09-13,41.35,False,True,True,False
FAM-100043,Illinois,2025-05-10,Self-referral,2,Engaged,Benefits enrollment,32.94,False,True,Still active,illinois,2025-05-10,32.94,False,True,True,False
FAM-100044,Washington,2025-01-25,School,1,Unable to contact,Mental health referral,26.24,False,False,No response after outreach,washington,2025-01-25,26.24,False,True,True,False
FAM-100045,Texas,2025-12-21,Health provider,1,Engaged,Mental health referral,149.14,False,True,Needs met,texas,2025-12-21,149.14,False,True,True,False
FAM-100046,Illinois,2025-06-12,Health provider,4,Engaged,Concrete supports,126.34,False,True,Needs met,Illinois,2025-06-12,126.34,False,True,True,False
FAM-100047,Illinois,2025-11-22,Community partner,1,Pending outreach,No service recorded,0.0,False,False,Still active,IL,2025-11-22,0.0,False,True,True,False
FAM-100048,Illinois,2025-09-05,Self-referral,2,Engaged,Concrete supports,346.65,False,True,Connected to ongoing service,Illinois,2025-09-05,346.65,False,True,True,False
FAM-100049,Texas,2025-10-12,Health provider,2,Engaged,Parent coaching,50.91,False,True,Connected to ongoing service,texas,2025-10-12,50.91,False,True,True,False
FAM-100050,Texas,2025-10-05,Health provider,0,Engaged,Housing navigation,523.18,False,True,Needs met,Texas,2025-10-05,523.18,False,True,True,False
FAM-100051,Illinois,2025-03-13,Family resource center,2,Engaged,No service recorded,852.96,False,True,Still active,Illinois,2025-03-13,852.96,False,True,True,False
FAM-100052,Washington,2025-05-13,Self-referral,4,Engaged,Parent coaching,35.73,True,True,Connected to ongoing service,washington,2025-05-13,35.73,False,True,True,False
