family_id,site_state,referral_date,referral_source,outreach_attempts,engagement_status,service_type,flexible_funds_amount,case_review_flag,follow_up_completed,outcome_status
FAM-100356,illinois,2025-02-25,School,2,Engaged,Child care support,293.73,False,True,Needs met
FAM-100507,washington,2025-04-01,Health provider,3,Unable to contact,,0.0,False,True,No response after outreach
FAM-100579,Washington,2025-02-07,Self-referral,2,Engaged,,65.51,False,True,Still active
FAM-100250,new york,2025-03-07,Family resource center,2,Engaged,Housing navigation,,False,True,Connected to ongoing service
FAM-100344,WA,2025-11-27,School,3,Unable to contact,,0.0,False,True,No response after outreach
FAM-100727,texas,2025-02-02,Health provider,4,Unable to contact,Legal aid referral,32.9,True,False,No response after outreach
FAM-100643,Ill.,2025-06-25,CPS hotline screened-out,2,Engaged,Parent coaching,40.58,False,True,Needs met
FAM-100696,TX,2025-09-21,Family resource center,0,Pending outreach,Housing navigation,127.95,False,False,No response after outreach
FAM-100120,Ohio,2025-06-10,School,2,Pending outreach,Mental health referral,297.85,False,False,Still active
FAM-100517,N.Y.,2025-01-25,Community partner,0,Declined,,0.0,False,True,Family declined services
FAM-100457,NY,2025-08-20,CPS hotline screened-out,5,Unable to contact,,0.0,False,False,No response after outreach
FAM-100077,Texas,2025-03-24,Family resource center,1,Engaged,Child care support,132.67,False,True,Needs met
FAM-100199,Washington,2025-12-18,School,3,Unable to contact,,0.0,False,False,No response after outreach
FAM-100109,Illinois,2025-09-15,Family resource center,3,Engaged,Legal aid referral,74.75,False,True,Still active
FAM-100506,texas,2025-07-13,Community partner,2,Engaged,Benefits enrollment,5000.0,True,True,Still active
FAM-100342,illinois,2025-08-15,Self-referral,4,Engaged,Legal aid referral,72.71,False,True,Needs met
FAM-100733,Wash.,2025-10-10,Health provider,3,Engaged,Concrete supports,215.38,False,True,Needs met
FAM-100066,Illinois,2025-11-27,CPS hotline screened-out,2,Engaged,Benefits enrollment,14.26,False,False,Still active
FAM-100360,texas,2025-11-05,School,4,Engaged,Mental health referral,13.68,True,True,Needs met
FAM-100067,TX,2025-05-16,Health provider,1,Unable to contact,Parent coaching,58.52,False,False,No response after outreach
FAM-100086,IL,2025-02-05,CPS hotline screened-out,2,Unable to contact,,0.0,True,True,No response after outreach
FAM-100365,illinois,2025-07-09,Community partner,3,Engaged,Child care support,330.05,False,True,Needs met
FAM-100118,New York,2025-03-31,School,2,Engaged,Legal aid referral,56.64,False,True,Connected to ongoing service
FAM-100423,Texas,2025-08-01,Health provider,4,Unable to contact,,0.0,False,False,No response after outreach
FAM-100023,OH,2025-12-05,Health provider,3,Pending outreach,,0.0,False,True,No response after outreach
FAM-100235,OH,2025-09-20,Health provider,2,Engaged,Mental health referral,228.67,False,True,Connected to ongoing service
FAM-100078,Illinois,2025-07-26,Family resource center,1,Pending outreach,,0.0,False,False,Still active
FAM-100599,NY,2025-02-30,Self-referral,0,Engaged,Benefits enrollment,58.38,False,True,Needs met
FAM-100208,NY,2025-04-07,Health provider,2,Engaged,Housing navigation,190.04,False,False,Still active
FAM-100220,N.Y.,2025-02-16,Community partner,3,Declined,Housing navigation,266.49,True,True,Family declined services
FAM-100482,Wash.,2025-04-02,Family resource center,2,Engaged,Parent coaching,49.01,False,True,Still active
FAM-100097,Ill.,2025-09-07,CPS hotline screened-out,1,Engaged,Mental health referral,160.28,False,True,Needs met
FAM-100291,texas,2025-04-08,School,1,Engaged,Housing navigation,62.1,False,,Still active
FAM-100433,ohio,2025-02-17,CPS hotline screened-out,1,Engaged,Child care support,243.74,False,False,Still active
FAM-100327,IL,2025-01-14,CPS hotline screened-out,1,Engaged,Legal aid referral,54.72,False,True,Connected to ongoing service
FAM-100417,N.Y.,2025-02-14,CPS hotline screened-out,1,Engaged,Legal aid referral,63.38,False,True,Connected to ongoing service
FAM-100653,TX,2025-10-21,School,1,Engaged,Parent coaching,74.27,False,False,No response after outreach
FAM-100605,Washington,2025-07-15,CPS hotline screened-out,3,Engaged,Parent coaching,40.57,False,True,Needs met
FAM-100549,IL,2025-09-06,Family resource center,0,Engaged,Child care support,117.64,False,True,Needs met
FAM-100412,New York,2025-04-12,Health provider,1,Engaged,Housing navigation,160.9,False,True,Needs met
FAM-100672,Texas,2025-08-21,School,2,Unable to contact,Housing navigation,428.7,False,True,No response after outreach
FAM-100538,Washington,2025-07-17,Community partner,6,Engaged,Mental health referral,65.04,True,False,Still active
FAM-100645,washington,2025-04-30,Community partner,5,Declined,,0.0,True,True,Family declined services
FAM-100465,IL,2025-12-19,CPS hotline screened-out,3,Engaged,Housing navigation,548.7,False,True,Connected to ongoing service
FAM-100259,Illinois,2025-08-03,Community partner,0,Engaged,Legal aid referral,122.38,False,True,Needs met
FAM-100383,illinois,2025-03-29,Self-referral,1,Engaged,Parent coaching,122.96,False,False,No response after outreach
FAM-100097,Ill.,2025-09-07,Self-referral,1,Engaged,Mental health referral,160.28,False,True,Needs met
FAM-100196,Wash.,2025-05-06,Health provider,4,Engaged,Housing navigation,280.25,True,True,Connected to ongoing service
FAM-100368,illinois,2025-01-09,Family resource center,2,Engaged,Child care support,130.67,False,True,Still active
FAM-100296,ohio,2025-11-07,CPS hotline screened-out,0,Pending outreach,,0.0,False,False,No response after outreach
FAM-100626,OH,2025-05-04,Health provider,3,Engaged,Benefits enrollment,101.02,False,True,Needs met
FAM-100515,new york,2025-02-08,School,4,Engaged,Parent coaching,79.92,False,False,Still active
FAM-100634,OH,2025-03-08,Health provider,3,Engaged,Child care support,412.16,False,True,Still active
FAM-100450,Ill.,2025-12-17,School,4,Declined,Benefits enrollment,47.18,False,True,Family declined services
FAM-100264,Washington,2025-12-28,Community partner,2,Engaged,Child care support,98.5,False,False,No response after outreach
FAM-100613,new york,2025-05-21,Community partner,7,Engaged,Benefits enrollment,64.37,True,,Needs met
FAM-100635,Texas,2025-09-08,School,2,Unable to contact,,0.0,False,False,No response after outreach
FAM-100679,new york,2025-12-08,CPS hotline screened-out,4,Engaged,Legal aid referral,218.88,False,True,Connected to ongoing service
FAM-100030,Wash.,2025-06-14,CPS hotline screened-out,2,Engaged,Child care support,142.57,False,True,Still active
FAM-100357,IL,2025-11-22,Self-referral,5,Unable to contact,,0.0,False,False,No response after outreach
FAM-100033,Ill.,2025-07-22,CPS hotline screened-out,3,Engaged,Mental health referral,102.21,True,False,Still active
FAM-100031,NY,2025-03-24,Self-referral,2,Engaged,Parent coaching,117.54,False,True,Connected to ongoing service
FAM-100039,IL,2025-08-19,Self-referral,3,Engaged,Child care support,429.06,False,False,No response after outreach
FAM-100697,OH,2025-08-04,Family resource center,1,Engaged,Child care support,572.47,False,True,Connected to ongoing service
FAM-100426,N.Y.,2025-11-12,Health provider,2,Declined,,3750.0,False,True,Family declined services
FAM-100511,NY,2025-09-30,Health provider,1,Engaged,Mental health referral,128.29,False,True,Connected to ongoing service
FAM-100306,Ill.,2025-04-21,School,1,Engaged,Benefits enrollment,86.18,False,False,No response after outreach
FAM-100181,new york,2025-02-25,Health provider,1,Engaged,Benefits enrollment,50.02,False,True,Needs met
FAM-100405,new york,2025-07-02,Health provider,3,Engaged,Mental health referral,68.53,False,True,Needs met
FAM-100210,TX,2025-04-06,Self-referral,2,Engaged,Concrete supports,104.15,False,True,Connected to ongoing service
FAM-100464,OH,2025-01-03,Community partner,1,Engaged,Concrete supports,210.39,True,True,Needs met
FAM-100260,Illinois,2025-10-17,Community partner,3,Declined,Mental health referral,315.13,False,True,Family declined services
FAM-100209,Washington,2025-10-12,Self-referral,2,Declined,,0.0,False,True,Family declined services
FAM-100380,Ill.,2025-01-02,Self-referral,2,Pending outreach,,0.0,False,False,Still active
FAM-100381,new york,2025-12-08,Self-referral,3,Declined,,0.0,False,True,Family declined services
FAM-100137,Ill.,2025-01-12,School,4,Engaged,Housing navigation,331.02,False,False,Still active
FAM-100722,washington,2025-11-05,Self-referral,1,Engaged,Mental health referral,5.81,False,True,Still active
FAM-100580,Wash.,2025-02-04,Community partner,1,Engaged,Parent coaching,32.43,False,True,Needs met
FAM-100741,illinois,2025-10-06,Self-referral,0,Engaged,,184.9,False,True,Needs met
FAM-100054,texas,2025-07-01,Family resource center,4,Unable to contact,,0.0,False,False,No response after outreach
FAM-100726,NY,2025-09-21,Self-referral,1,Engaged,,365.93,False,False,Still active
FAM-100213,illinois,2025-06-14,Self-referral,2,Unable to contact,,0.0,False,False,No response after outreach
FAM-100265,texas,2025-08-01,Community partner,2,Pending outreach,,0.0,True,False,Still active
FAM-100254,Texas,2025-08-30,School,1,Unable to contact,Housing navigation,652.36,False,,No response after outreach
FAM-100609,IL,2025-11-10,Self-referral,2,Declined,,0.0,False,True,Family declined services
FAM-100674,NY,2025-08-15,Self-referral,1,Engaged,Mental health referral,74.63,False,False,No response after outreach
FAM-100740,IL,2025-10-26,CPS hotline screened-out,2,Engaged,Benefits enrollment,20.15,False,True,Connected to ongoing service
FAM-100332,Texas,2025-04-24,Family resource center,4,Unable to contact,Mental health referral,155.43,False,False,No response after outreach
FAM-100211,Illinois,2025-09-19,Health provider,1,Unable to contact,,0.0,False,True,No response after outreach
FAM-100429,IL,2025-09-19,Family resource center,3,Engaged,,63.77,True,True,Still active
FAM-100084,TX,2025-08-18,Community partner,2,Unable to contact,Concrete supports,293.34,False,False,No response after outreach
FAM-100010,Washington,2025-07-12,Family resource center,1,Engaged,Housing navigation,150.61,False,True,Needs met
FAM-100319,Wash.,2025-10-08,Family resource center,4,Pending outreach,,0.0,True,False,No response after outreach
FAM-100456,ohio,2025-02-24,Family resource center,0,Engaged,Child care support,,True,True,Still active
FAM-100204,N.Y.,2025-06-16,CPS hotline screened-out,4,Engaged,Mental health referral,52.46,False,True,Connected to ongoing service
FAM-100275,NY,2025-06-26,Health provider,3,Declined,Housing navigation,271.11,False,True,Family declined services
FAM-100192,Illinois,2025-08-10,CPS hotline screened-out,5,Engaged,Legal aid referral,189.75,False,True,Still active
FAM-100029,washington,2025-06-11,School,4,Engaged,Child care support,638.48,False,True,Needs met
FAM-100683,OH,2025-12-16,CPS hotline screened-out,1,Engaged,Housing navigation,325.02,False,True,Needs met
FAM-100490,Washington,2025-12-07,Health provider,2,Engaged,Mental health referral,57.98,False,True,Still active
FAM-100065,Washington,2025-04-29,Self-referral,0,Engaged,Legal aid referral,124.27,False,True,Connected to ongoing service
FAM-100227,Washington,2025-07-31,Family resource center,3,Engaged,Parent coaching,223.28,False,True,Needs met
FAM-100578,illinois,2025-11-23,School,1,Engaged,Mental health referral,72.21,False,True,Connected to ongoing service
FAM-100617,Texas,2025-04-08,Self-referral,1,Declined,,0.0,False,True,Family declined services
FAM-100081,Wash.,2025-06-09,School,6,Engaged,Concrete supports,172.83,False,True,Connected to ongoing service
FAM-100479,IL,2025-02-09,Self-referral,7,Engaged,Concrete supports,270.15,True,False,No response after outreach
FAM-100398,Wash.,2025-04-13,Health provider,4,Pending outreach,,0.0,False,False,Still active
FAM-100478,washington,2025-08-31,School,3,Pending outreach,,0.0,False,False,No response after outreach
FAM-100611,N.Y.,2025-06-18,Family resource center,1,Declined,Concrete supports,287.9,False,True,Family declined services
FAM-100518,IL,2025-06-23,Self-referral,1,Engaged,Benefits enrollment,23.93,False,True,Needs met
FAM-100499,texas,2025-06-05,Family resource center,1,Engaged,Housing navigation,609.57,False,True,Connected to ongoing service
FAM-100076,WA,2025-05-01,Health provider,4,Unable to contact,,0.0,False,True,No response after outreach
