event_date,add_to_cart,checkout_start,page_view,product_view,purchase
2026-01-24,41,29,133,63,20
2026-01-25,43,30,126,75,12
2026-01-26,28,28,104,66,19
2026-01-27,34,23,133,72,25
2026-01-28,43,28,120,63,15
2026-01-29,38,21,116,61,18
2026-01-30,43,30,101,67,22
2026-01-31,48,30,141,60,15
2026-02-01,48,27,123,62,17
2026-02-02,42,30,97,71,13
2026-02-03,43,26,120,51,9
2026-02-04,50,36,125,79,14
2026-02-05,37,20,133,67,16
2026-02-06,38,21,135,54,20
2026-02-07,38,27,140,71,13
2026-02-08,27,29,130,70,7
2026-02-09,31,24,118,71,13
2026-02-10,38,19,114,75,15
2026-02-11,43,24,135,67,16
2026-02-12,47,41,111,63,16
2026-02-13,50,24,141,65,10
2026-02-14,40,24,125,55,12
2026-02-15,44,27,136,75,17
2026-02-16,40,29,108,62,19
2026-02-17,43,31,122,80,12
2026-02-18,45,18,123,60,11
2026-02-19,40,26,137,62,15
2026-02-20,33,25,111,73,12
2026-02-21,30,35,119,64,17
2026-02-22,35,32,139,71,14
2026-02-23,30,26,129,68,20
2026-02-24,42,22,130,84,12
2026-02-25,35,17,127,66,13
2026-02-26,39,28,129,88,18
2026-02-27,41,28,116,62,10
2026-02-28,41,25,116,65,15
2026-03-01,38,23,133,69,13
2026-03-02,35,26,124,65,18
2026-03-03,34,25,124,77,9
2026-03-04,42,30,112,67,17
2026-03-05,35,20,118,82,15
2026-03-06,50,30,120,79,15
2026-03-07,44,27,118,69,17
2026-03-08,45,28,137,74,14
2026-03-09,49,35,137,62,10
2026-03-10,42,26,117,61,10
2026-03-11,37,29,130,66,8
2026-03-12,33,32,133,78,13
2026-03-13,43,24,138,57,11
2026-03-14,53,26,129,76,7
2026-03-15,42,36,128,73,22
2026-03-16,45,29,144,62,10
2026-03-17,27,29,134,69,14
2026-03-18,52,26,123,60,18
2026-03-19,46,21,146,67,6
2026-03-20,43,28,128,77,13
2026-03-21,49,22,122,72,11
2026-03-22,47,30,123,81,14
2026-03-23,40,21,147,78,8
2026-03-24,43,29,114,77,15
2026-03-25,49,32,137,68,21
2026-03-26,42,33,132,79,14
2026-03-27,41,28,136,76,6
2026-03-28,37,30,127,56,18
2026-03-29,32,30,137,76,14
2026-03-30,46,26,136,66,18
2026-03-31,39,24,120,61,16
2026-04-01,32,33,135,64,8
2026-04-02,30,22,123,74,10
2026-04-03,49,17,128,75,16
2026-04-04,45,22,144,71,15
2026-04-05,45,22,132,63,15
2026-04-06,44,31,124,79,14
2026-04-07,45,33,128,64,12
2026-04-08,34,36,130,79,14
2026-04-09,45,33,150,70,19
2026-04-10,49,28,130,62,14
2026-04-11,49,21,122,63,22
2026-04-12,38,32,126,74,18
2026-04-13,47,21,115,68,10
2026-04-14,33,32,107,75,19
2026-04-15,43,22,144,77,10
2026-04-16,35,23,111,74,13
2026-04-17,45,29,116,72,13
2026-04-18,40,25,109,71,20
2026-04-19,48,27,103,60,23
2026-04-20,39,25,144,58,9
2026-04-21,32,28,140,62,12
2026-04-22,47,26,130,75,15
2026-04-23,43,22,131,66,19
