customer_id,total_revenue,total_orders,ltv_proxy
CUST000001,8540.05,8,8540.05
CUST000002,6217.54,8,6217.54
CUST000003,11848.45,9,11848.45
CUST000004,10438.74,9,10438.74
CUST000005,14675.04,11,14675.04
CUST000006,11652.51,9,11652.51
CUST000007,14964.58,9,14964.58
CUST000008,8716.68,5,8716.68
CUST000009,11287.06,7,11287.06
CUST000010,7740.91,4,7740.91
CUST000011,16652.66,13,16652.66
CUST000012,6535.64,5,6535.64
CUST000013,8400.41,7,8400.41
CUST000014,17687.43,12,17687.43
CUST000015,19359.67,14,19359.67
CUST000016,10431.39,9,10431.39
CUST000017,7490.34,6,7490.34
CUST000018,5120.59,4,5120.59
CUST000019,6747.95,7,6747.95
CUST000020,6302.47,5,6302.47
CUST000021,7005.1900000000005,6,7005.1900000000005
CUST000022,16837.0,11,16837.0
CUST000023,2392.76,4,2392.76
CUST000024,7453.35,5,7453.35
CUST000025,4945.83,3,4945.83
CUST000026,4746.99,5,4746.99
CUST000027,9023.47,7,9023.47
CUST000028,12632.42,10,12632.42
CUST000029,10381.1,8,10381.1
CUST000030,4649.57,6,4649.57
CUST000031,8047.45,5,8047.45
CUST000032,11470.44,9,11470.44
CUST000033,8693.98,9,8693.98
CUST000034,8831.01,9,8831.01
CUST000035,19661.25,14,19661.25
CUST000036,12548.52,11,12548.52
CUST000037,10434.19,9,10434.19
CUST000038,8357.01,6,8357.01
CUST000039,9437.92,4,9437.92
CUST000040,7867.38,8,7867.38
CUST000041,6713.43,7,6713.43
CUST000042,7273.92,5,7273.92
CUST000043,9291.52,5,9291.52
CUST000044,12798.22,10,12798.22
CUST000045,12295.85,12,12295.85
CUST000046,9367.72,8,9367.72
CUST000047,11101.13,9,11101.13
CUST000048,14157.37,11,14157.37
CUST000049,6792.92,8,6792.92
CUST000050,12099.54,7,12099.54
CUST000051,10852.24,11,10852.24
CUST000052,5819.95,5,5819.95
CUST000053,16817.04,11,16817.04
CUST000054,11455.6,7,11455.6
CUST000055,7828.25,9,7828.25
CUST000056,19575.36,14,19575.36
CUST000057,13864.43,7,13864.43
CUST000058,2082.1,3,2082.1
CUST000059,15707.89,8,15707.89
CUST000060,9288.18,8,9288.18
CUST000061,4751.68,4,4751.68
CUST000062,13607.73,10,13607.73
CUST000063,9510.75,9,9510.75
CUST000064,13355.27,10,13355.27
CUST000065,9167.69,6,9167.69
CUST000066,6799.4400000000005,6,6799.4400000000005
CUST000067,13224.56,9,13224.56
CUST000068,12982.26,11,12982.26
CUST000069,8374.09,9,8374.09
CUST000070,8754.39,8,8754.39
CUST000071,8426.85,10,8426.85
CUST000072,15813.29,10,15813.29
CUST000073,16020.94,10,16020.94
CUST000074,15071.6,11,15071.6
CUST000075,6828.11,7,6828.11
CUST000076,9407.08,5,9407.08
CUST000077,15748.99,12,15748.99
