sales_date,revenue,orders
2026-01-24,69145.06,57
2026-01-25,40510.27,37
2026-01-26,45449.58,38
2026-01-27,52855.11,41
2026-01-28,50700.72,38
2026-01-29,50478.99,43
2026-01-30,55526.63,46
2026-01-31,71130.81,53
2026-02-01,59073.6,42
2026-02-02,60513.53,49
2026-02-03,59631.16,43
2026-02-04,65213.25,55
2026-02-05,33220.22,24
2026-02-06,43577.01,35
2026-02-07,58387.43,46
2026-02-08,43104.27,41
2026-02-09,59518.2,46
2026-02-10,57747.3,42
2026-02-11,37423.19,32
2026-02-12,50363.85,40
2026-02-13,41444.23,34
2026-02-14,58280.13,47
2026-02-15,44102.41,43
2026-02-16,52606.91,46
2026-02-17,55295.17,44
2026-02-18,37956.12,39
2026-02-19,44981.9,36
2026-02-20,54370.9,39
2026-02-21,51649.61,42
2026-02-22,76807.9,55
2026-02-23,49817.09,43
2026-02-24,41904.26,40
2026-02-25,58870.2,45
2026-02-26,55394.97,42
2026-02-27,51770.88,45
2026-02-28,70181.44,60
2026-03-01,64038.72,50
2026-03-02,67640.35,52
2026-03-03,49085.83,47
2026-03-04,45107.58,35
2026-03-05,52012.61,46
2026-03-06,58511.86,46
2026-03-07,67224.83,51
2026-03-08,58682.41,51
2026-03-09,52637.53,39
2026-03-10,44936.51,42
2026-03-11,44610.94,40
2026-03-12,55049.09,42
2026-03-13,60421.04,49
2026-03-14,77022.98,56
2026-03-15,56613.090000000004,45
2026-03-16,72910.14,52
2026-03-17,51296.24,44
2026-03-18,41252.36,32
2026-03-19,64300.25,48
2026-03-20,59387.15,45
2026-03-21,45456.82,36
2026-03-22,53305.47,51
2026-03-23,38559.98,29
2026-03-24,53373.31,44
2026-03-25,64226.29,55
2026-03-26,69370.01,54
2026-03-27,61437.81,47
2026-03-28,53210.98,39
2026-03-29,41445.44,29
2026-03-30,63095.18,51
2026-03-31,58812.78,54
2026-04-01,53647.5,43
2026-04-02,55694.34,43
2026-04-03,53235.82,46
2026-04-04,61389.66,48
2026-04-05,43366.23,35
2026-04-06,50364.41,43
2026-04-07,63077.3,52
2026-04-08,50076.52,42
2026-04-09,55048.78,42
2026-04-10,69619.52,52
2026-04-11,63200.78,53
2026-04-12,55969.84,40
2026-04-13,40227.92,33
2026-04-14,56711.56,46
2026-04-15,69769.36,49
2026-04-16,39429.07,29
2026-04-17,67350.91,58
2026-04-18,52142.479999999996,42
2026-04-19,61854.67,52
2026-04-20,75410.29,62
2026-04-21,74499.35,53
2026-04-22,50060.6,42
2026-04-23,58063.15,46
