category,product_name,revenue,units_sold,refunded
Electronics,ELE-AUD-0031,105920.144,320,4569.441
Electronics,ELE-ACC-0010,100518.593,318,4281.862
Home,HOM-FUR-0059,97849.7415,317,4132.8605
Sports,SPO-OUT-0149,97664.198,297,5100.3585
Fashion,FAS-APP-0082,93149.291,344,3679.3305
Electronics,ELE-MOB-0036,92212.1575,341,2464.97
Beauty,BEA-SKI-0122,89851.684,350,2345.0235000000002
Beauty,BEA-HAI-0109,87329.4975,304,2589.684
Sports,SPO-ATH-0174,86545.57,379,3012.7725
Sports,SPO-OUT-0177,85964.638,391,4058.9575
Home,HOM-FUR-0051,83451.1825,350,2557.8395
Beauty,BEA-MAK-0131,82723.7895,348,2732.896
Home,HOM-DEC-0069,82497.7765,268,3766.054
Fashion,FAS-APP-0073,82331.593,314,2769.458
Beauty,BEA-MAK-0140,82315.1765,306,2426.572
Home,HOM-DEC-0066,81872.599,348,5226.8505000000005
Sports,SPO-OUT-0161,79278.2805,310,1875.6364999999998
Fashion,FAS-APP-0099,78979.5955,316,3096.9629999999997
Electronics,ELE-ACC-0023,78919.981,360,2692.7615
Sports,SPO-FIT-0156,78732.3365,293,2486.4685
Sports,SPO-FIT-0162,77737.6065,284,3347.2455
Beauty,BEA-MAK-0129,77533.784,338,2632.7515
Fashion,FAS-SHO-0077,76968.5825,408,4400.2315
Sports,SPO-FIT-0173,76840.4825,306,1824.7125
Sports,SPO-FIT-0168,76765.724,348,2225.844
Fashion,FAS-APP-0089,76113.1965,319,3827.451
Sports,SPO-OUT-0155,75657.877,324,1958.02
Fashion,FAS-BAG-0106,74577.844,304,2490.5865
Beauty,BEA-MAK-0121,74296.22350000001,298,2318.072
Home,HOM-KIT-0049,74269.9365,315,3368.945
Fashion,FAS-BAG-0096,73895.3135,302,2761.8485
Home,HOM-KIT-0068,73783.391,350,4975.279
Electronics,ELE-AUD-0012,72226.68,313,2881.4655
Electronics,ELE-MOB-0001,72101.839,321,2528.151
Home,HOM-KIT-0050,71907.8475,335,2634.322
Fashion,FAS-APP-0091,71735.2465,289,3095.1835
Beauty,BEA-MAK-0144,71565.669,286,3027.1505
Beauty,BEA-MAK-0141,71040.335,303,2477.775
Electronics,ELE-ACC-0024,70248.031,379,2498.7780000000002
Fashion,FAS-SHO-0080,69992.561,325,2160.738
Home,HOM-DEC-0042,68860.1775,320,1989.4535
Fashion,FAS-BAG-0098,68730.7205,316,4944.6045
Home,HOM-KIT-0060,68101.862,282,1938.9155
Fashion,FAS-APP-0101,67970.9315,292,2922.2135
