dataset,expectation,success,unexpected_percent
fact_orders,non_null_order_id,True,0.0
fact_orders,non_null_order_line_id,True,0.0
fact_orders,unique_order_line_id,True,0.0
fact_orders,order_amount_non_negative,True,0.0
fact_orders,item_quantity_positive,True,0.0
fact_payments,non_null_payment_id,True,0.0
fact_payments,non_null_order_id,True,0.0
fact_payments,unique_payment_id,True,0.0
fact_returns,non_null_return_id,True,0.0
fact_returns,non_null_order_id,True,0.0
fact_returns,unique_return_id,True,0.0
fact_returns,refund_amount_non_negative,True,0.0
fact_web_events,non_null_event_id,True,0.0
fact_web_events,unique_event_id,True,0.0
fact_inventory,non_null_product_id,True,0.0
fact_inventory,non_null_snapshot_date,True,0.0
fact_inventory,on_hand_qty_non_negative,True,0.0
global,refund_rate_below_threshold_0.25,True,0.0
